dataset,model,n_patients,balanced_accuracy_mean,macro_f1_mean,accuracy_mean,macro_precision_mean,macro_recall_mean,weighted_f1_mean,mcc_mean,cohen_kappa_mean,macro_roc_auc_ovr_mean,weighted_roc_auc_ovr_mean,macro_pr_auc_ovr_mean,log_loss_mean,brier_score_mean,ece_mean,balanced_accuracy_sd,macro_f1_sd,accuracy_sd,macro_precision_sd,macro_recall_sd,weighted_f1_sd,mcc_sd,cohen_kappa_sd,macro_roc_auc_ovr_sd,weighted_roc_auc_ovr_sd,macro_pr_auc_ovr_sd,log_loss_sd,brier_score_sd,ece_sd,n_units
TCGA-BRCA,integrao,20,0.43333333333333335,0.2909722222222222,0.5,0.28402777777777777,0.325,0.45486111111111116,0.26372620680527514,0.2327824027824028,0.6703703703703705,0.6777777777777777,0.6864197530864198,1.3600857444891623,0.7282324331533799,0.3873288715343966,0.12018504251546633,0.09423700666896169,0.14086784586980805,0.09692165841735463,0.09013878188659974,0.13707594542739737,0.18900752023303843,0.17479444011952194,0.06607245472189364,0.060156688410299246,0.08085477279918524,0.1039838419735555,0.06346745079002537,0.022861858186388386,3
TCGA-BRCA,integrao,50,0.5416203703703704,0.46410341972841973,0.6066666666666666,0.4716666666666667,0.5108333333333334,0.5924418821918821,0.4289017719845818,0.4059856773791422,0.7470864197530864,0.7514876543209876,0.6387312120321379,1.415235460544216,0.6533142642667242,0.34970895651797607,0.07594775826577574,0.057404011323136425,0.05251983752196244,0.05137729786696757,0.07765218033713617,0.04274180685129663,0.0682122890982405,0.06309452785534911,0.07357508732052362,0.06418390376500059,0.07511420723922424,0.19019629352421782,0.04613435452088188,0.017497753279767554,3
TCGA-BRCA,integrao,100,0.6534154040404041,0.6219768289444138,0.7008333333333333,0.6580045301920302,0.6534154040404041,0.70218058910287,0.5553342808834886,0.5406802390848754,0.8392187954971108,0.8400367981500593,0.7125789307706466,1.1138465888236313,0.5008338735253163,0.28919552818273164,0.0464335863708409,0.04623659423446227,0.045368858629387325,0.054153627384350436,0.0464335863708409,0.04440853106100415,0.06767276082979469,0.06807955558968438,0.042866563979532056,0.02618252250418257,0.04698462962317541,0.1251987578959607,0.05018143344466791,0.011555216784216954,3
TCGA-BRCA,integrao,200,0.7396013708513709,0.7069071781327659,0.7399999999999999,0.7169953897613514,0.7396013708513709,0.7456214248381645,0.6167992076069923,0.6054940956959723,0.8851003761365602,0.8836500615447984,0.7673461200517736,0.9224429984847308,0.3951757703546989,0.193590431216672,0.09409611488718413,0.09514719458545756,0.09099278817576702,0.0876092988268247,0.09409611488718413,0.08937927755100385,0.1271889854836667,0.13199400930624455,0.06252010503094813,0.0629093290649277,0.1042719434036678,0.29314798429823186,0.1257495099002111,0.030477957483946206,3
TCGA-BRCA,integrao,300,0.8084524936868687,0.7779521294925237,0.7927777777777778,0.7700713288323957,0.8084524936868687,0.7977414234670265,0.690632555844129,0.6837168391697855,0.9421909813284648,0.9335225532599871,0.8613584271470875,0.5095801778017758,0.2954245495141223,0.13477461999003182,0.0133017923725264,0.018410185210090992,0.013471506281091339,0.019686051457716774,0.0133017923725264,0.012251285279607296,0.017812538388296325,0.018868201798990146,0.0061840027735222585,0.006420694394261907,0.027236899009664355,0.03690559650236397,0.02282563023768994,0.0057209915398293695,3
TCGA-BRCA,integrao,400,0.8135290928386859,0.7827717053935457,0.8002083333333333,0.7762750967173018,0.8135290928386859,0.8051997672439702,0.7030321178684412,0.6954474714684823,0.9340928323338512,0.9253267909979882,0.8406896298177594,0.6517297522791383,0.305842756498319,0.12236728192674713,0.03624396918176304,0.04145965705791283,0.03718793767249438,0.041717860124280984,0.03624396918176304,0.03671358942957567,0.05507817020993544,0.055788002362385375,0.023703552142812678,0.025429492127309775,0.04287773209670042,0.20096538769114092,0.04951124979048425,0.010981416684609332,3
TCGA-BRCA,integrao,500,0.8518641752004049,0.8296023269887854,0.8377053872053871,0.8219955768094692,0.8518641752004049,0.8418297216139131,0.7545800691599246,0.7497793565531863,0.9611226538094254,0.9540348323050862,0.8928654781987667,0.4338175754168338,0.24271179881694607,0.09694311106841964,0.013566400583175027,0.01271010563045503,0.0077408020685821605,0.009340406767331827,0.013566400583175027,0.006503293289478379,0.011133066121706212,0.011358287078256894,0.002579746295355499,0.0035831125314973286,0.007573321078003126,0.01266773809233863,0.011201603523523897,0.00733724105885945,3
TCGA-BRCA,logreg_early,20,0.5111111111111111,0.3511111111111111,0.6,0.3361111111111111,0.3833333333333333,0.5355555555555556,0.3466788806649648,0.3104895104895105,0.812962962962963,0.813888888888889,0.8166666666666665,1.4134137734338161,0.6201443265412566,0.3787153091516137,0.12619796324000607,0.11213005015671822,0.09999999999999995,0.12619796324000607,0.09464847243000457,0.12478129014547963,0.2175139251168392,0.1967152839115679,0.20125634207730553,0.20144156399239876,0.20207259421636917,0.9457589025403141,0.2698779002480663,0.13977349604978692,3
TCGA-BRCA,logreg_early,50,0.6377777777777777,0.5816735116735116,0.7466666666666667,0.5936309523809524,0.5988888888888889,0.7096864616864617,0.5892253088162445,0.5647796355057344,0.9250648148148147,0.9253148148148148,0.862760582010582,0.6482906136121815,0.34705047873279454,0.20453344164990891,0.0725973165507539,0.0755482064518656,0.030550504633038964,0.08828019114459411,0.06241290227485322,0.0430564988403534,0.07321208696579724,0.07862505890650259,0.014720710963663371,0.014217483296129442,0.026807313552885768,0.04573374027726361,0.025204182741485847,0.005372400463677045,3
TCGA-BRCA,logreg_early,100,0.7580050505050505,0.7503505970679883,0.85,0.7761380286380287,0.7580050505050505,0.8333295146077755,0.7629091290607759,0.7534502290754698,0.9410982356459329,0.9399232456140351,0.8737799542010772,0.5470705904162393,0.24956306039760304,0.14213184315299776,0.028209738260415496,0.03999656027685508,0.034641016151377504,0.05259033476628073,0.028209738260415496,0.036850112657343254,0.05809907027101955,0.05718983090523977,0.02516061343875733,0.023450722000903045,0.01830093706993798,0.15063132556384884,0.046275850664712355,0.012662739576544678,3
TCGA-BRCA,logreg_early,200,0.7997835497835498,0.8097176526380533,0.85,0.844145580138143,0.7997835497835498,0.8439777093288195,0.7614233801978546,0.7563794680916289,0.9455993784015987,0.9450030330869147,0.8784222107000624,0.5265762926648039,0.24280352542155992,0.12769420148572042,0.02561325020830796,0.020103719168435275,0.009999999999999981,0.020454005280551187,0.02561325020830796,0.010067277902929333,0.0184668089406151,0.01729300493804792,0.021506795854372398,0.018344490875527603,0.03464082898455826,0.1586672437485568,0.03281903463064015,0.013691988009430413,3
TCGA-BRCA,logreg_early,300,0.7910763888888889,0.7919115761258909,0.8122222222222222,0.8058455623003038,0.7910763888888889,0.8101114630564892,0.7029571206321389,0.6999007413487135,0.943188517855234,0.9318733896027546,0.8695725721567339,0.5491585409826657,0.28279779311948045,0.13318233327825849,0.0026593555168496394,0.0037686373343557363,0.0019245008972987808,0.010077920586526633,0.0026593555168496394,0.0025933529300991827,0.005154670646581661,0.004268595273066543,0.0041677208225991205,0.005744736362435735,0.005412402387642017,0.039096908605702786,0.01401308899994134,0.010603776120898885,3
TCGA-BRCA,logreg_early,400,0.8234157186482767,0.8212855115349592,0.8416666666666667,0.8321301355340748,0.8234157186482767,0.841764783596565,0.7525353109340674,0.7494745758698103,0.956862813513817,0.94958274336699,0.889242096360848,0.5322584155858276,0.24603844600788113,0.11877049259384588,0.027446880934322387,0.02030245059431735,0.025041632002194506,0.020798902026947938,0.027446880934322387,0.02521112288807217,0.03928487503187643,0.03984366294568153,0.007040659400351967,0.01162161170654427,0.015292562467972044,0.04935760841706124,0.03104332391341058,0.012146123717313464,3
TCGA-BRCA,logreg_early,500,0.8342949442088802,0.8381249536798099,0.8584444444444443,0.8537162407663743,0.8342949442088802,0.8576262427778291,0.7752834684564328,0.7734594414416515,0.965190245991454,0.9586156174940988,0.9019591324542814,0.48369960711017673,0.22391271221452838,0.10496826299900543,0.021362915173265582,0.019631604710947353,0.018204329498460608,0.017799349073809118,0.021362915173265582,0.01672533427362339,0.02831029338749815,0.027765426888843866,0.0038303151562064544,0.005424623841175574,0.004243002120013481,0.05363475086831139,0.023855208204316688,0.01505168646751502,3
TCGA-BRCA,logreg_late,20,0.5222222222222223,0.33722222222222226,0.6333333333333333,0.3055555555555555,0.39166666666666666,0.5244444444444444,0.378445297354832,0.3331986531986532,0.8740740740740741,0.8722222222222222,0.8888888888888888,0.9013912407421106,0.4926959587088467,0.35806070424415365,0.13471506281091272,0.10596557791898133,0.11547005383792512,0.10617508252009106,0.10103629710818447,0.12549162580884887,0.23328340419655413,0.20826914427937887,0.09049475350274536,0.10183501544346314,0.06735753140545629,0.05148747148065285,0.06798581223804315,0.061648291200588144,3
TCGA-BRCA,logreg_late,50,0.6772222222222223,0.6384651459651459,0.7733333333333333,0.6737301587301587,0.6411111111111111,0.7518948828948829,0.6419842259207665,0.6205403681294261,0.9366388888888889,0.9272592592592592,0.8960163139329805,0.6144438499390331,0.3358771507566785,0.2938776097413363,0.04945068624771921,0.052703908212484746,0.07571877794400368,0.05760248351704828,0.05124378914488975,0.07231178672817225,0.11683321909602472,0.12047498112976701,0.018091028188743866,0.018492685685651964,0.024733639209314224,0.06278216947856192,0.044491026484400245,0.013076435482303824,3
TCGA-BRCA,logreg_late,100,0.8113383838383839,0.8199260827739089,0.8533333333333334,0.8728706016206017,0.8113383838383839,0.8437344479996653,0.7724639286575264,0.7609862926072357,0.9584987539872408,0.9516162280701755,0.9153228388515822,0.4920141793472698,0.255275359001914,0.2255262838125467,0.02151426232335257,0.021039408585409692,0.015275252316519392,0.0439461327643837,0.02151426232335257,0.014206418841055935,0.02444133612034396,0.022181767372952136,0.026343127686801217,0.03135898373215481,0.046770322533965014,0.09855144413313795,0.05565523628738971,0.021597823288997276,3
TCGA-BRCA,logreg_late,200,0.8127705627705627,0.8211075447478436,0.8483333333333333,0.8517139165394313,0.8127705627705627,0.8456391159140274,0.7601373668074007,0.7559891506563795,0.9531435419901703,0.943736685998199,0.8906664347567066,0.4843377602828516,0.25558161905488946,0.18151351986335473,0.03356041890847418,0.0355137260324403,0.016072751268321556,0.031153601629517753,0.03356041890847418,0.019254875489090665,0.030304269742108144,0.029758363521083714,0.015336097061678206,0.01777125451803146,0.03294994655462307,0.04283393766019525,0.028568010491071227,0.019232590003889445,3
TCGA-BRCA,logreg_late,300,0.8388762626262626,0.8377418121905938,0.8477777777777779,0.8452742472059688,0.8388762626262626,0.847405481278587,0.7613327763896306,0.7587574309035018,0.9473103739110683,0.9360529434557212,0.8792671548730221,0.5027926922010554,0.26970275839230307,0.18073507269036995,0.010648392477666926,0.011637148779065867,0.010715167512214312,0.017008808451968557,0.010648392477666926,0.010588853406587176,0.015598381426412958,0.015619285424235666,0.0039115634042177615,0.005830089748975767,0.0030652736470434755,0.03620998469658145,0.01829085471919218,0.03148371972817166,3
TCGA-BRCA,logreg_late,400,0.852645432732642,0.8485061050028584,0.8666666666666667,0.8544333767476783,0.852645432732642,0.8672866084893281,0.7906543941600473,0.7889737853112183,0.9634184462039764,0.956841713060142,0.9038364086202639,0.4699720607468934,0.2426926386264736,0.17744537244462114,0.03505331623237985,0.039932436591314464,0.0276511000383951,0.043210828517489544,0.03505331623237985,0.026115101301471162,0.04147809649095309,0.04210187518991224,0.013480302654183608,0.012477558500953997,0.027054914012536253,0.04722390061282295,0.02507186436573593,0.00727787401095106,3
TCGA-BRCA,logreg_late,500,0.8534340677865173,0.8546611165354667,0.8637306397306398,0.8607686066685382,0.8534340677865173,0.8647203315117817,0.7852317642560122,0.784037655714644,0.96482781882197,0.9556160997311963,0.9067456527406405,0.4631319956007483,0.23823502823786366,0.16208768524019893,0.007763802323962901,0.005878735266043914,0.007233517573448814,0.003617335494043822,0.007763802323962901,0.0065872400667085764,0.01183468117118791,0.01150037730360181,0.001970676216005221,0.0012553503385743703,0.008567593247379678,0.005222276025391075,0.004020393125507214,0.0036868674872540803,3
TCGA-BRCA,mofa,20,0.5777777777777778,0.38999999999999996,0.6,0.38611111111111107,0.43333333333333335,0.5522222222222223,0.4494549330982897,0.40507936507936515,0.7518518518518519,0.7555555555555555,0.762962962962963,6.63147621983461,0.6664446689197311,0.44132277581071455,0.19531550923607718,0.15986973864159945,0.21794494717703367,0.1584064158820361,0.14648663192705788,0.2224380895973163,0.3170683266186139,0.30706971432750807,0.23069496008594012,0.22917929258148115,0.228003501525347,7.320906240017775,0.3632824530496758,0.1383223841703649,3
TCGA-BRCA,mofa,50,0.6009259259259259,0.5132032782032782,0.6333333333333333,0.5201190476190476,0.5694444444444445,0.6147335627335627,0.4811231590462311,0.4574921160784538,0.7361342592592592,0.7381481481481481,0.6594470899470899,6.518492003284217,0.6391932272212367,0.35535944620460747,0.13795724571797785,0.11828096027896551,0.11015141094572203,0.12403933570735165,0.12580113642541518,0.10673377118884594,0.15905706992296093,0.16090697689371733,0.08043348309745946,0.10320129457349894,0.13050406251878596,3.861461205124792,0.23067634795662953,0.10892479275117128,3
TCGA-BRCA,mofa,100,0.6807070707070707,0.6480909967250659,0.6833333333333332,0.6528553391053391,0.6807070707070707,0.6872341684055913,0.5410028495732871,0.5277146011341864,0.7580131218988128,0.7598933966861598,0.6410889652377831,5.484464504791614,0.5565843922112692,0.31015854078998933,0.03401796348413889,0.044296166261505635,0.05859465277082321,0.047497663983284415,0.03401796348413889,0.05364938015513958,0.07424158645084869,0.0765905855217305,0.009798460866980364,0.03386345748896989,0.0287817253644396,1.4918318729406768,0.10528060303756773,0.05920135543146473,3
TCGA-BRCA,mofa,200,0.7446699134199134,0.6953380110723789,0.7283333333333334,0.6923369993010086,0.7446699134199134,0.7354666739218964,0.610627291145562,0.5961835992866363,0.8525931346295245,0.8432057816638409,0.717600806662253,2.761956742990968,0.4663160905107277,0.21810685654998788,0.031470590973509835,0.024528235183062626,0.03617089069035116,0.013140445149175117,0.031470590973509835,0.03675030741190378,0.04263442438055001,0.047524863982840115,0.017423814639732537,0.028579951732704195,0.024631121213924887,0.6963680792781989,0.058593390415453646,0.035874496254199105,3
TCGA-BRCA,mofa,300,0.7758459595959596,0.7394537703246234,0.7555555555555555,0.7293456031148947,0.7758459595959596,0.763132055319847,0.6429076481028434,0.632016103288242,0.899232280560232,0.8884107089412646,0.7868106229037147,1.2938077403621513,0.3674367472855253,0.1440878064966243,0.04275299742962991,0.0320593800012691,0.024113927126900837,0.029388833785903356,0.04275299742962991,0.023618190044187824,0.043940720418782206,0.03922936884626321,0.032583240317124035,0.032411733551036485,0.0480208291710592,0.5062000396582448,0.04533250669449051,0.012914500691005635,3
TCGA-BRCA,mofa,400,0.7740935727708984,0.7387013676509794,0.7508333333333334,0.7358590045535696,0.7740935727708984,0.7598742404169885,0.6406754624774343,0.6280696950452426,0.9037566938909462,0.8929970954570697,0.7764371398710924,1.3540907425754398,0.3766347389977866,0.1482030674548952,0.04560881902130635,0.05189184340568427,0.034490336810958144,0.05827871677819962,0.04560881902130635,0.03267046922735765,0.05250509692525345,0.049135923026048495,0.0413272134904453,0.038686435192086026,0.0617949453722914,0.9130654943842237,0.05862935004099841,0.03905381509958135,3
TCGA-BRCA,mofa,500,0.8030387704936696,0.7678897335152998,0.786969696969697,0.7567215290814074,0.8030387704936696,0.7938653808207516,0.6895917657525192,0.6797774844881599,0.9138991788601847,0.912995421635423,0.7856198075757709,1.072439904678607,0.3316308772143058,0.12022130819086406,0.029001741253675974,0.025519031490391374,0.015554414230726064,0.02218598774874887,0.029001741253675974,0.01385148357049849,0.020897423340252224,0.02175779249255346,0.02807706682210623,0.017150391878082292,0.06320885971986066,0.3382035305607785,0.0277542265681808,0.014511597976364789,3
TCGA-BRCA,pca_logreg,20,0.2111111111111111,0.1461111111111111,0.21666666666666667,0.14722222222222223,0.15833333333333333,0.20333333333333334,-0.03585101986190569,-0.03977799977799978,0.46944444444444455,0.4708333333333334,0.4407407407407407,27.1040066009939,1.547256714761159,0.7879886566487603,0.06938886664887109,0.05503365973387292,0.05773502691896258,0.07184731753543092,0.05204164998665332,0.06887992773257275,0.10272916691701156,0.10742283057529585,0.060921422776281396,0.06548430685625714,0.03781588491974468,1.792651406233157,0.09742775481728852,0.040817153545557955,3
TCGA-BRCA,pca_logreg,50,0.5735185185185184,0.5171844821844821,0.6666666666666666,0.5508134920634921,0.5383333333333333,0.6426180486180487,0.46861008599942694,0.4471964859397854,0.7908356481481481,0.7973425925925927,0.7162612433862433,3.6157252189605202,0.540786624808347,0.3347978820320659,0.008057151821410057,0.019741451789847417,0.07023769168568492,0.05336774550599877,0.0028867513459481953,0.053135673379319355,0.1020529813740359,0.09212901698562911,0.055150807002152566,0.060448173989651084,0.09101565454912346,2.6005062668039916,0.11543267757440115,0.027099664922030888,3
TCGA-BRCA,pca_logreg,100,0.6656060606060606,0.6588687600644122,0.7799999999999999,0.6866419691419692,0.6656060606060606,0.756876550180898,0.6498565437411579,0.6352615820640847,0.9057937260895853,0.9059425811260177,0.8300979757950012,1.0577499197976754,0.32678434043141885,0.1921166350422202,0.046975378444262014,0.05683687398396718,0.06244997998398404,0.06805910513334,0.046975378444262014,0.0672475599335224,0.10774757278625395,0.10486692430572285,0.007428370002803669,0.02826573370937198,0.045662595553941566,0.40325950665995963,0.07803878052880764,0.04800860253955404,3
TCGA-BRCA,pca_logreg,200,0.7459415584415585,0.7492639789898482,0.8083333333333332,0.7776039612387035,0.7459415584415585,0.8026745991258998,0.6956902171775878,0.6915571252712596,0.9252671057666947,0.9250105226338778,0.8374616370346025,0.5855361786672586,0.2909387745432521,0.14299809443619402,0.03330129841711039,0.04847095677339743,0.04752192476461088,0.059652203042278244,0.03330129841711039,0.04426354879256545,0.0713815377853304,0.07152583220324413,0.03861215678068537,0.028262705622341833,0.05943243756773959,0.18313752517228166,0.06400988688999881,0.023767108533481456,3
TCGA-BRCA,pca_logreg,300,0.766969696969697,0.7713646783505511,0.8044444444444444,0.8049278573055476,0.766969696969697,0.8038801706157757,0.6923083284171686,0.6884275092183261,0.9201174368161968,0.9102599408674806,0.8351895561526504,0.6733960964636078,0.31226764785413835,0.13806414436460654,0.016050795562664366,0.004992409329091018,0.010183501544346244,0.012585231263451579,0.016050795562664366,0.00846612955568181,0.011483101883417876,0.013382605027698707,0.005700593385744724,0.005027429422182658,0.011544368569070287,0.06137588169684954,0.018497823149968447,0.013474590433965029,3
TCGA-BRCA,pca_logreg,400,0.784680861773885,0.7813768529401216,0.8091666666666667,0.7956083589843485,0.784680861773885,0.8117899739540743,0.7049297268343979,0.7007403820869937,0.9329442625280869,0.9247494988522386,0.8381101068593458,0.8169464528453289,0.29456808733187523,0.12589798849179548,0.03983387084769287,0.04597604543492697,0.03986957904635227,0.05388801426899881,0.03983387084769287,0.039235068949477266,0.060529632855469105,0.06010281924562822,0.014021094919471275,0.019615187823293984,0.04087387693953141,0.34277872416860666,0.05645131988486588,0.024372590695828956,3
TCGA-BRCA,pca_logreg,500,0.8219129103331354,0.81574463078912,0.8383771043771043,0.8221721291776577,0.8219129103331354,0.8409829586183483,0.7494716800975013,0.7464632211648432,0.9517700900058713,0.9464136811575496,0.8739963483095865,0.6022024996343099,0.24609571815729772,0.1014977596469373,0.01703480697779267,0.016092252358938488,0.010293466215183449,0.016758027471242703,0.01703480697779267,0.010490780247914399,0.0176757461832723,0.017564452676042903,0.0035028867044115163,0.0009797011313721449,0.009516036269661165,0.08595221751395275,0.011042595737088401,0.006560554130177351,3
TCGA-BRCA,pnet,20,0.37777777777777777,0.22888888888888884,0.43333333333333335,0.2111111111111111,0.2833333333333334,0.355,0.11577145566534607,0.09548821548821551,0.5675925925925926,0.5652777777777778,0.5462962962962963,11.957475986825102,0.9410424761891584,0.4824136570096016,0.05091750772173155,0.06395165998482615,0.028867513459481266,0.07742977702647974,0.03818813079129868,0.06584915421712806,0.07621397818832451,0.07116427458693929,0.022280017436140637,0.02369266959615552,0.04018987854483463,3.4934080048848775,0.06797418235849002,0.05928065302427712,3
