dataset,model,n_patients,balanced_accuracy,macro_f1,accuracy,mcc,macro_roc_auc_ovr,n_units
TCGA-BRCA,integrao,20,0.433 +/- 0.120,0.291 +/- 0.094,0.500 +/- 0.141,0.264 +/- 0.189,0.670 +/- 0.066,3
TCGA-BRCA,integrao,50,0.542 +/- 0.076,0.464 +/- 0.057,0.607 +/- 0.053,0.429 +/- 0.068,0.747 +/- 0.074,3
TCGA-BRCA,integrao,100,0.653 +/- 0.046,0.622 +/- 0.046,0.701 +/- 0.045,0.555 +/- 0.068,0.839 +/- 0.043,3
TCGA-BRCA,integrao,200,0.740 +/- 0.094,0.707 +/- 0.095,0.740 +/- 0.091,0.617 +/- 0.127,0.885 +/- 0.063,3
TCGA-BRCA,integrao,300,0.808 +/- 0.013,0.778 +/- 0.018,0.793 +/- 0.013,0.691 +/- 0.018,0.942 +/- 0.006,3
TCGA-BRCA,integrao,400,0.814 +/- 0.036,0.783 +/- 0.041,0.800 +/- 0.037,0.703 +/- 0.055,0.934 +/- 0.024,3
TCGA-BRCA,integrao,500,0.852 +/- 0.014,0.830 +/- 0.013,0.838 +/- 0.008,0.755 +/- 0.011,0.961 +/- 0.003,3
TCGA-BRCA,logreg_early,20,0.511 +/- 0.126,0.351 +/- 0.112,0.600 +/- 0.100,0.347 +/- 0.218,0.813 +/- 0.201,3
TCGA-BRCA,logreg_early,50,0.638 +/- 0.073,0.582 +/- 0.076,0.747 +/- 0.031,0.589 +/- 0.073,0.925 +/- 0.015,3
TCGA-BRCA,logreg_early,100,0.758 +/- 0.028,0.750 +/- 0.040,0.850 +/- 0.035,0.763 +/- 0.058,0.941 +/- 0.025,3
TCGA-BRCA,logreg_early,200,0.800 +/- 0.026,0.810 +/- 0.020,0.850 +/- 0.010,0.761 +/- 0.018,0.946 +/- 0.022,3
TCGA-BRCA,logreg_early,300,0.791 +/- 0.003,0.792 +/- 0.004,0.812 +/- 0.002,0.703 +/- 0.005,0.943 +/- 0.004,3
TCGA-BRCA,logreg_early,400,0.823 +/- 0.027,0.821 +/- 0.020,0.842 +/- 0.025,0.753 +/- 0.039,0.957 +/- 0.007,3
TCGA-BRCA,logreg_early,500,0.834 +/- 0.021,0.838 +/- 0.020,0.858 +/- 0.018,0.775 +/- 0.028,0.965 +/- 0.004,3
TCGA-BRCA,logreg_late,20,0.522 +/- 0.135,0.337 +/- 0.106,0.633 +/- 0.115,0.378 +/- 0.233,0.874 +/- 0.090,3
TCGA-BRCA,logreg_late,50,0.677 +/- 0.049,0.638 +/- 0.053,0.773 +/- 0.076,0.642 +/- 0.117,0.937 +/- 0.018,3
TCGA-BRCA,logreg_late,100,0.811 +/- 0.022,0.820 +/- 0.021,0.853 +/- 0.015,0.772 +/- 0.024,0.958 +/- 0.026,3
TCGA-BRCA,logreg_late,200,0.813 +/- 0.034,0.821 +/- 0.036,0.848 +/- 0.016,0.760 +/- 0.030,0.953 +/- 0.015,3
TCGA-BRCA,logreg_late,300,0.839 +/- 0.011,0.838 +/- 0.012,0.848 +/- 0.011,0.761 +/- 0.016,0.947 +/- 0.004,3
TCGA-BRCA,logreg_late,400,0.853 +/- 0.035,0.849 +/- 0.040,0.867 +/- 0.028,0.791 +/- 0.041,0.963 +/- 0.013,3
TCGA-BRCA,logreg_late,500,0.853 +/- 0.008,0.855 +/- 0.006,0.864 +/- 0.007,0.785 +/- 0.012,0.965 +/- 0.002,3
TCGA-BRCA,mofa,20,0.578 +/- 0.195,0.390 +/- 0.160,0.600 +/- 0.218,0.449 +/- 0.317,0.752 +/- 0.231,3
TCGA-BRCA,mofa,50,0.601 +/- 0.138,0.513 +/- 0.118,0.633 +/- 0.110,0.481 +/- 0.159,0.736 +/- 0.080,3
TCGA-BRCA,mofa,100,0.681 +/- 0.034,0.648 +/- 0.044,0.683 +/- 0.059,0.541 +/- 0.074,0.758 +/- 0.010,3
TCGA-BRCA,mofa,200,0.745 +/- 0.031,0.695 +/- 0.025,0.728 +/- 0.036,0.611 +/- 0.043,0.853 +/- 0.017,3
TCGA-BRCA,mofa,300,0.776 +/- 0.043,0.739 +/- 0.032,0.756 +/- 0.024,0.643 +/- 0.044,0.899 +/- 0.033,3
TCGA-BRCA,mofa,400,0.774 +/- 0.046,0.739 +/- 0.052,0.751 +/- 0.034,0.641 +/- 0.053,0.904 +/- 0.041,3
TCGA-BRCA,mofa,500,0.803 +/- 0.029,0.768 +/- 0.026,0.787 +/- 0.016,0.690 +/- 0.021,0.914 +/- 0.028,3
TCGA-BRCA,pca_logreg,20,0.211 +/- 0.069,0.146 +/- 0.055,0.217 +/- 0.058,-0.036 +/- 0.103,0.469 +/- 0.061,3
TCGA-BRCA,pca_logreg,50,0.574 +/- 0.008,0.517 +/- 0.020,0.667 +/- 0.070,0.469 +/- 0.102,0.791 +/- 0.055,3
TCGA-BRCA,pca_logreg,100,0.666 +/- 0.047,0.659 +/- 0.057,0.780 +/- 0.062,0.650 +/- 0.108,0.906 +/- 0.007,3
TCGA-BRCA,pca_logreg,200,0.746 +/- 0.033,0.749 +/- 0.048,0.808 +/- 0.048,0.696 +/- 0.071,0.925 +/- 0.039,3
TCGA-BRCA,pca_logreg,300,0.767 +/- 0.016,0.771 +/- 0.005,0.804 +/- 0.010,0.692 +/- 0.011,0.920 +/- 0.006,3
TCGA-BRCA,pca_logreg,400,0.785 +/- 0.040,0.781 +/- 0.046,0.809 +/- 0.040,0.705 +/- 0.061,0.933 +/- 0.014,3
TCGA-BRCA,pca_logreg,500,0.822 +/- 0.017,0.816 +/- 0.016,0.838 +/- 0.010,0.749 +/- 0.018,0.952 +/- 0.004,3
TCGA-BRCA,pnet,20,0.378 +/- 0.051,0.229 +/- 0.064,0.433 +/- 0.029,0.116 +/- 0.076,0.568 +/- 0.022,3
TCGA-BRCA,pnet,50,0.539 +/- 0.026,0.485 +/- 0.047,0.673 +/- 0.023,0.459 +/- 0.046,0.808 +/- 0.105,3
TCGA-BRCA,pnet,100,0.586 +/- 0.065,0.591 +/- 0.059,0.743 +/- 0.045,0.569 +/- 0.096,0.781 +/- 0.133,3
TCGA-BRCA,pnet,200,0.710 +/- 0.068,0.717 +/- 0.071,0.793 +/- 0.050,0.667 +/- 0.089,0.902 +/- 0.083,3
TCGA-BRCA,pnet,300,0.766 +/- 0.027,0.770 +/- 0.027,0.816 +/- 0.014,0.706 +/- 0.021,0.931 +/- 0.024,3
TCGA-BRCA,pnet,400,0.782 +/- 0.007,0.795 +/- 0.002,0.827 +/- 0.010,0.722 +/- 0.018,0.915 +/- 0.013,3
TCGA-BRCA,pnet,500,0.743 +/- 0.043,0.768 +/- 0.042,0.807 +/- 0.035,0.687 +/- 0.062,0.875 +/- 0.046,3
TCGA-BRCA,svm_early,20,0.489 +/- 0.222,0.311 +/- 0.166,0.567 +/- 0.208,0.311 +/- 0.374,0.717 +/- 0.257,3
TCGA-BRCA,svm_early,50,0.637 +/- 0.103,0.566 +/- 0.098,0.733 +/- 0.081,0.588 +/- 0.152,0.862 +/- 0.033,3
TCGA-BRCA,svm_early,100,0.724 +/- 0.035,0.712 +/- 0.034,0.807 +/- 0.031,0.702 +/- 0.048,0.902 +/- 0.049,3
TCGA-BRCA,svm_early,200,0.779 +/- 0.012,0.773 +/- 0.015,0.807 +/- 0.031,0.707 +/- 0.041,0.923 +/- 0.011,3
TCGA-BRCA,svm_early,300,0.781 +/- 0.016,0.772 +/- 0.011,0.797 +/- 0.003,0.686 +/- 0.012,0.918 +/- 0.010,3
TCGA-BRCA,svm_early,400,0.825 +/- 0.016,0.813 +/- 0.008,0.819 +/- 0.020,0.731 +/- 0.025,0.941 +/- 0.006,3
TCGA-BRCA,svm_early,500,0.839 +/- 0.002,0.827 +/- 0.003,0.838 +/- 0.008,0.754 +/- 0.009,0.953 +/- 0.005,3
TCGA-KIPAN,integrao,20,0.476 +/- 0.019,0.330 +/- 0.005,0.496 +/- 0.007,0.157 +/- 0.028,0.603 +/- 0.033,3
TCGA-KIPAN,integrao,50,0.625 +/- 0.105,0.552 +/- 0.117,0.665 +/- 0.087,0.429 +/- 0.138,0.771 +/- 0.066,3
TCGA-KIPAN,integrao,100,0.710 +/- 0.006,0.659 +/- 0.021,0.757 +/- 0.013,0.595 +/- 0.010,0.818 +/- 0.011,3
TCGA-KIPAN,integrao,200,0.825 +/- 0.032,0.795 +/- 0.029,0.856 +/- 0.019,0.744 +/- 0.034,0.904 +/- 0.040,3
TCGA-KIPAN,integrao,300,0.819 +/- 0.022,0.793 +/- 0.029,0.854 +/- 0.022,0.739 +/- 0.041,0.902 +/- 0.008,3
TCGA-KIPAN,integrao,400,0.848 +/- 0.021,0.827 +/- 0.025,0.869 +/- 0.014,0.765 +/- 0.025,0.916 +/- 0.016,3
TCGA-KIPAN,integrao,500,0.842 +/- 0.009,0.814 +/- 0.006,0.863 +/- 0.006,0.758 +/- 0.014,0.927 +/- 0.014,3
TCGA-KIPAN,logreg_early,20,0.767 +/- 0.100,0.549 +/- 0.079,0.783 +/- 0.104,0.668 +/- 0.188,0.902 +/- 0.136,3
TCGA-KIPAN,logreg_early,50,0.867 +/- 0.019,0.785 +/- 0.036,0.920 +/- 0.035,0.862 +/- 0.056,0.975 +/- 0.017,3
TCGA-KIPAN,logreg_early,100,0.872 +/- 0.035,0.860 +/- 0.039,0.933 +/- 0.015,0.882 +/- 0.027,0.958 +/- 0.038,3
TCGA-KIPAN,logreg_early,200,0.949 +/- 0.004,0.934 +/- 0.004,0.957 +/- 0.003,0.921 +/- 0.006,0.993 +/- 0.005,3
TCGA-KIPAN,logreg_early,300,0.940 +/- 0.031,0.911 +/- 0.045,0.946 +/- 0.025,0.904 +/- 0.044,0.990 +/- 0.003,3
TCGA-KIPAN,logreg_early,400,0.938 +/- 0.020,0.916 +/- 0.012,0.951 +/- 0.009,0.912 +/- 0.018,0.989 +/- 0.003,3
TCGA-KIPAN,logreg_early,500,0.944 +/- 0.008,0.910 +/- 0.006,0.945 +/- 0.006,0.902 +/- 0.011,0.990 +/- 0.003,3
TCGA-KIPAN,logreg_late,20,0.833 +/- 0.088,0.624 +/- 0.080,0.833 +/- 0.076,0.780 +/- 0.108,0.926 +/- 0.071,3
TCGA-KIPAN,logreg_late,50,0.904 +/- 0.083,0.829 +/- 0.088,0.940 +/- 0.040,0.893 +/- 0.073,0.963 +/- 0.048,3
TCGA-KIPAN,logreg_late,100,0.922 +/- 0.031,0.913 +/- 0.042,0.953 +/- 0.012,0.916 +/- 0.024,0.986 +/- 0.007,3
TCGA-KIPAN,logreg_late,200,0.965 +/- 0.010,0.958 +/- 0.017,0.975 +/- 0.015,0.955 +/- 0.027,0.997 +/- 0.002,3
TCGA-KIPAN,logreg_late,300,0.952 +/- 0.010,0.939 +/- 0.022,0.963 +/- 0.013,0.934 +/- 0.023,0.995 +/- 0.001,3
TCGA-KIPAN,logreg_late,400,0.955 +/- 0.008,0.949 +/- 0.016,0.966 +/- 0.009,0.937 +/- 0.017,0.993 +/- 0.005,3
TCGA-KIPAN,logreg_late,500,0.941 +/- 0.017,0.943 +/- 0.011,0.963 +/- 0.002,0.931 +/- 0.004,0.995 +/- 0.005,3
TCGA-KIPAN,mofa,20,0.578 +/- 0.125,0.419 +/- 0.100,0.583 +/- 0.115,0.365 +/- 0.188,0.645 +/- 0.086,3
TCGA-KIPAN,mofa,50,0.483 +/- 0.211,0.438 +/- 0.213,0.547 +/- 0.151,0.268 +/- 0.214,0.606 +/- 0.147,3
TCGA-KIPAN,mofa,100,0.518 +/- 0.088,0.488 +/- 0.055,0.560 +/- 0.030,0.321 +/- 0.054,0.581 +/- 0.097,3
TCGA-KIPAN,mofa,200,0.564 +/- 0.103,0.483 +/- 0.098,0.522 +/- 0.108,0.283 +/- 0.140,0.612 +/- 0.062,3
TCGA-KIPAN,mofa,300,0.510 +/- 0.125,0.442 +/- 0.149,0.502 +/- 0.132,0.229 +/- 0.141,0.618 +/- 0.094,3
TCGA-KIPAN,mofa,400,0.767 +/- 0.073,0.720 +/- 0.075,0.753 +/- 0.079,0.620 +/- 0.095,0.847 +/- 0.082,3
TCGA-KIPAN,mofa,500,0.490 +/- 0.069,0.399 +/- 0.081,0.463 +/- 0.077,0.223 +/- 0.094,0.638 +/- 0.048,3
TCGA-KIPAN,pca_logreg,20,0.344 +/- 0.067,0.240 +/- 0.060,0.367 +/- 0.029,-0.091 +/- 0.140,0.475 +/- 0.041,3
TCGA-KIPAN,pca_logreg,50,0.617 +/- 0.071,0.561 +/- 0.079,0.713 +/- 0.023,0.477 +/- 0.046,0.767 +/- 0.125,3
TCGA-KIPAN,pca_logreg,100,0.779 +/- 0.066,0.773 +/- 0.078,0.827 +/- 0.047,0.690 +/- 0.074,0.882 +/- 0.068,3
TCGA-KIPAN,pca_logreg,200,0.888 +/- 0.027,0.887 +/- 0.023,0.908 +/- 0.016,0.832 +/- 0.027,0.958 +/- 0.006,3
TCGA-KIPAN,pca_logreg,300,0.862 +/- 0.028,0.842 +/- 0.035,0.887 +/- 0.013,0.798 +/- 0.025,0.945 +/- 0.016,3
TCGA-KIPAN,pca_logreg,400,0.898 +/- 0.037,0.885 +/- 0.031,0.913 +/- 0.025,0.844 +/- 0.046,0.960 +/- 0.015,3
TCGA-KIPAN,pca_logreg,500,0.882 +/- 0.007,0.876 +/- 0.006,0.909 +/- 0.009,0.835 +/- 0.017,0.955 +/- 0.006,3
TCGA-KIPAN,pnet,20,0.583 +/- 0.029,0.401 +/- 0.046,0.633 +/- 0.029,0.348 +/- 0.053,0.714 +/- 0.108,3
TCGA-KIPAN,pnet,50,0.786 +/- 0.091,0.725 +/- 0.082,0.847 +/- 0.061,0.714 +/- 0.119,0.903 +/- 0.053,3
TCGA-KIPAN,pnet,100,0.860 +/- 0.075,0.864 +/- 0.075,0.913 +/- 0.035,0.844 +/- 0.064,0.963 +/- 0.019,3
TCGA-KIPAN,pnet,200,0.906 +/- 0.006,0.918 +/- 0.007,0.937 +/- 0.003,0.882 +/- 0.005,0.980 +/- 0.009,3
TCGA-KIPAN,pnet,300,0.885 +/- 0.005,0.905 +/- 0.004,0.932 +/- 0.010,0.873 +/- 0.019,0.977 +/- 0.007,3
TCGA-KIPAN,pnet,400,0.913 +/- 0.038,0.925 +/- 0.035,0.937 +/- 0.023,0.881 +/- 0.044,0.984 +/- 0.004,3
TCGA-KIPAN,pnet,500,0.896 +/- 0.013,0.915 +/- 0.012,0.941 +/- 0.007,0.891 +/- 0.013,0.987 +/- 0.004,3
TCGA-KIPAN,svm_early,20,0.689 +/- 0.135,0.459 +/- 0.146,0.667 +/- 0.189,0.505 +/- 0.304,0.819 +/- 0.181,3
TCGA-KIPAN,svm_early,50,0.726 +/- 0.180,0.643 +/- 0.164,0.827 +/- 0.095,0.705 +/- 0.172,0.903 +/- 0.052,3
TCGA-KIPAN,svm_early,100,0.895 +/- 0.048,0.871 +/- 0.063,0.903 +/- 0.042,0.832 +/- 0.071,0.949 +/- 0.015,3
TCGA-KIPAN,svm_early,200,0.915 +/- 0.042,0.892 +/- 0.018,0.935 +/- 0.009,0.883 +/- 0.013,0.965 +/- 0.010,3
TCGA-KIPAN,svm_early,300,0.889 +/- 0.061,0.895 +/- 0.058,0.941 +/- 0.027,0.891 +/- 0.051,0.958 +/- 0.030,3
TCGA-KIPAN,svm_early,400,0.924 +/- 0.034,0.929 +/- 0.029,0.954 +/- 0.024,0.915 +/- 0.044,0.962 +/- 0.017,3
TCGA-KIPAN,svm_early,500,0.889 +/- 0.006,0.888 +/- 0.013,0.935 +/- 0.005,0.882 +/- 0.007,0.963 +/- 0.008,3
TCGA-LGG,integrao,20,0.588 +/- 0.014,0.550 +/- 0.022,0.600 +/- 0.022,0.192 +/- 0.021,0.580 +/- 0.059,3
TCGA-LGG,integrao,50,0.638 +/- 0.062,0.628 +/- 0.062,0.638 +/- 0.060,0.281 +/- 0.125,0.648 +/- 0.075,3
TCGA-LGG,integrao,100,0.669 +/- 0.014,0.661 +/- 0.015,0.667 +/- 0.015,0.350 +/- 0.027,0.705 +/- 0.040,3
TCGA-LGG,integrao,200,0.642 +/- 0.014,0.636 +/- 0.014,0.640 +/- 0.015,0.291 +/- 0.028,0.687 +/- 0.022,3
TCGA-LGG,integrao,300,0.667 +/- 0.005,0.664 +/- 0.005,0.665 +/- 0.005,0.336 +/- 0.010,0.747 +/- 0.003,3
TCGA-LGG,integrao,400,0.658 +/- 0.006,0.655 +/- 0.005,0.656 +/- 0.006,0.318 +/- 0.013,0.742 +/- 0.006,3
TCGA-LGG,integrao,500,0.662 +/- 0.005,0.659 +/- 0.005,0.660 +/- 0.005,0.326 +/- 0.011,0.752 +/- 0.004,3
TCGA-LGG,logreg_early,20,0.661 +/- 0.010,0.600 +/- 0.071,0.667 +/- 0.058,0.358 +/- 0.040,0.739 +/- 0.067,3
TCGA-LGG,logreg_early,50,0.626 +/- 0.069,0.614 +/- 0.078,0.627 +/- 0.070,0.262 +/- 0.145,0.745 +/- 0.075,3
TCGA-LGG,logreg_early,100,0.714 +/- 0.048,0.710 +/- 0.052,0.713 +/- 0.051,0.435 +/- 0.094,0.795 +/- 0.044,3
TCGA-LGG,logreg_early,200,0.655 +/- 0.037,0.653 +/- 0.038,0.657 +/- 0.038,0.313 +/- 0.076,0.709 +/- 0.037,3
TCGA-LGG,logreg_early,300,0.671 +/- 0.009,0.670 +/- 0.010,0.672 +/- 0.010,0.345 +/- 0.019,0.722 +/- 0.015,3
TCGA-LGG,logreg_early,400,0.636 +/- 0.008,0.634 +/- 0.008,0.637 +/- 0.008,0.274 +/- 0.017,0.704 +/- 0.019,3
TCGA-LGG,logreg_early,500,0.660 +/- 0.021,0.659 +/- 0.021,0.662 +/- 0.019,0.323 +/- 0.040,0.719 +/- 0.034,3
TCGA-LGG,logreg_late,20,0.617 +/- 0.100,0.549 +/- 0.148,0.633 +/- 0.104,0.253 +/- 0.216,0.694 +/- 0.144,3
TCGA-LGG,logreg_late,50,0.599 +/- 0.105,0.587 +/- 0.113,0.600 +/- 0.106,0.208 +/- 0.218,0.670 +/- 0.101,3
TCGA-LGG,logreg_late,100,0.692 +/- 0.032,0.686 +/- 0.037,0.690 +/- 0.035,0.392 +/- 0.060,0.777 +/- 0.032,3
TCGA-LGG,logreg_late,200,0.668 +/- 0.040,0.664 +/- 0.040,0.667 +/- 0.041,0.340 +/- 0.081,0.729 +/- 0.036,3
TCGA-LGG,logreg_late,300,0.693 +/- 0.012,0.690 +/- 0.011,0.691 +/- 0.011,0.388 +/- 0.025,0.747 +/- 0.013,3
TCGA-LGG,logreg_late,400,0.674 +/- 0.019,0.670 +/- 0.019,0.672 +/- 0.019,0.352 +/- 0.039,0.741 +/- 0.012,3
TCGA-LGG,logreg_late,500,0.682 +/- 0.012,0.679 +/- 0.012,0.680 +/- 0.012,0.367 +/- 0.023,0.754 +/- 0.018,3
TCGA-LGG,mofa,20,0.578 +/- 0.042,0.538 +/- 0.073,0.583 +/- 0.076,0.182 +/- 0.108,0.669 +/- 0.079,3
TCGA-LGG,mofa,50,0.681 +/- 0.039,0.667 +/- 0.041,0.680 +/- 0.035,0.385 +/- 0.075,0.718 +/- 0.045,3
TCGA-LGG,mofa,100,0.686 +/- 0.069,0.678 +/- 0.072,0.683 +/- 0.068,0.379 +/- 0.134,0.723 +/- 0.047,3
TCGA-LGG,mofa,200,0.657 +/- 0.043,0.653 +/- 0.045,0.655 +/- 0.044,0.318 +/- 0.087,0.720 +/- 0.038,3
TCGA-LGG,mofa,300,0.676 +/- 0.016,0.671 +/- 0.017,0.672 +/- 0.016,0.356 +/- 0.033,0.742 +/- 0.015,3
TCGA-LGG,mofa,400,0.683 +/- 0.006,0.678 +/- 0.006,0.679 +/- 0.006,0.370 +/- 0.012,0.751 +/- 0.008,3
TCGA-LGG,mofa,500,0.686 +/- 0.003,0.680 +/- 0.003,0.681 +/- 0.003,0.377 +/- 0.005,0.749 +/- 0.012,3
TCGA-LGG,pca_logreg,20,0.578 +/- 0.251,0.560 +/- 0.243,0.600 +/- 0.218,0.160 +/- 0.510,0.553 +/- 0.247,3
TCGA-LGG,pca_logreg,50,0.636 +/- 0.081,0.623 +/- 0.083,0.633 +/- 0.081,0.283 +/- 0.179,0.649 +/- 0.107,3
TCGA-LGG,pca_logreg,100,0.693 +/- 0.049,0.688 +/- 0.051,0.693 +/- 0.051,0.393 +/- 0.101,0.744 +/- 0.043,3
TCGA-LGG,pca_logreg,200,0.638 +/- 0.003,0.636 +/- 0.002,0.638 +/- 0.003,0.279 +/- 0.007,0.695 +/- 0.005,3
TCGA-LGG,pca_logreg,300,0.668 +/- 0.034,0.667 +/- 0.034,0.669 +/- 0.033,0.340 +/- 0.067,0.732 +/- 0.027,3
TCGA-LGG,pca_logreg,400,0.610 +/- 0.020,0.609 +/- 0.019,0.611 +/- 0.019,0.221 +/- 0.040,0.673 +/- 0.009,3
TCGA-LGG,pca_logreg,500,0.660 +/- 0.012,0.657 +/- 0.012,0.659 +/- 0.011,0.323 +/- 0.023,0.709 +/- 0.011,3
TCGA-LGG,pnet,20,0.694 +/- 0.135,0.647 +/- 0.203,0.700 +/- 0.180,0.415 +/- 0.273,0.689 +/- 0.164,3
TCGA-LGG,pnet,50,0.671 +/- 0.099,0.664 +/- 0.106,0.673 +/- 0.099,0.352 +/- 0.209,0.767 +/- 0.064,3
TCGA-LGG,pnet,100,0.709 +/- 0.053,0.701 +/- 0.061,0.707 +/- 0.058,0.428 +/- 0.097,0.812 +/- 0.038,3
TCGA-LGG,pnet,200,0.688 +/- 0.032,0.685 +/- 0.032,0.687 +/- 0.032,0.380 +/- 0.066,0.743 +/- 0.042,3
TCGA-LGG,pnet,300,0.684 +/- 0.013,0.680 +/- 0.013,0.681 +/- 0.013,0.373 +/- 0.025,0.745 +/- 0.008,3
TCGA-LGG,pnet,400,0.656 +/- 0.005,0.653 +/- 0.004,0.655 +/- 0.004,0.316 +/- 0.010,0.731 +/- 0.007,3
TCGA-LGG,pnet,500,0.693 +/- 0.003,0.689 +/- 0.004,0.691 +/- 0.003,0.389 +/- 0.004,0.752 +/- 0.004,3
TCGA-LGG,svm_early,20,0.622 +/- 0.042,0.551 +/- 0.093,0.633 +/- 0.076,0.265 +/- 0.092,0.778 +/- 0.117,3
TCGA-LGG,svm_early,50,0.603 +/- 0.078,0.590 +/- 0.086,0.607 +/- 0.081,0.215 +/- 0.160,0.697 +/- 0.123,3
TCGA-LGG,svm_early,100,0.729 +/- 0.032,0.721 +/- 0.040,0.727 +/- 0.035,0.468 +/- 0.057,0.809 +/- 0.037,3
TCGA-LGG,svm_early,200,0.663 +/- 0.047,0.659 +/- 0.048,0.662 +/- 0.049,0.329 +/- 0.095,0.737 +/- 0.035,3
TCGA-LGG,svm_early,300,0.691 +/- 0.015,0.687 +/- 0.014,0.689 +/- 0.014,0.386 +/- 0.032,0.752 +/- 0.008,3
TCGA-LGG,svm_early,400,0.664 +/- 0.016,0.661 +/- 0.017,0.662 +/- 0.017,0.329 +/- 0.032,0.730 +/- 0.008,3
TCGA-LGG,svm_early,500,0.689 +/- 0.010,0.686 +/- 0.010,0.687 +/- 0.010,0.381 +/- 0.021,0.748 +/- 0.010,3
