dataset,method,n_omics,best_combination,balanced_accuracy,macro_f1,accuracy,n_evaluation_units
TCGA-BRCA,integrao,1,mrna,0.789 +/- 0.004,0.767 +/- 0.008,0.778 +/- 0.008,3
TCGA-BRCA,integrao,2,mrna+rppa,0.851 +/- 0.003,0.826 +/- 0.003,0.833 +/- 0.003,3
TCGA-BRCA,integrao,3,mrna+rppa+mirna,0.861 +/- 0.007,0.837 +/- 0.008,0.846 +/- 0.007,3
TCGA-BRCA,integrao,4,mrna+dnam+rppa+mirna,0.865 +/- 0.009,0.843 +/- 0.006,0.848 +/- 0.006,3
TCGA-BRCA,integrao,5,mrna+dnam+rppa+mirna+cnv,0.851 +/- 0.004,0.826 +/- 0.006,0.834 +/- 0.006,3
TCGA-BRCA,logreg_early,1,mrna,0.785 +/- 0.010,0.768 +/- 0.007,0.792 +/- 0.005,3
TCGA-BRCA,logreg_early,2,mrna+rppa,0.843 +/- 0.017,0.839 +/- 0.015,0.852 +/- 0.014,3
TCGA-BRCA,logreg_early,3,mrna+rppa+cnv,0.845 +/- 0.000,0.840 +/- 0.004,0.849 +/- 0.004,3
TCGA-BRCA,logreg_early,4,mrna+dnam+rppa+cnv,0.853 +/- 0.002,0.856 +/- 0.004,0.862 +/- 0.005,3
TCGA-BRCA,logreg_early,5,mrna+dnam+rppa+mirna+cnv,0.835 +/- 0.008,0.836 +/- 0.005,0.855 +/- 0.003,3
TCGA-BRCA,logreg_late,1,mrna,0.788 +/- 0.004,0.782 +/- 0.007,0.798 +/- 0.007,3
TCGA-BRCA,logreg_late,2,mrna+rppa,0.848 +/- 0.002,0.842 +/- 0.003,0.851 +/- 0.001,3
TCGA-BRCA,logreg_late,3,mrna+dnam+rppa,0.866 +/- 0.011,0.859 +/- 0.008,0.864 +/- 0.004,3
TCGA-BRCA,logreg_late,4,mrna+dnam+rppa+mirna,0.871 +/- 0.010,0.864 +/- 0.007,0.873 +/- 0.008,3
TCGA-BRCA,logreg_late,5,mrna+dnam+rppa+mirna+cnv,0.869 +/- 0.006,0.856 +/- 0.004,0.870 +/- 0.007,3
TCGA-BRCA,mofa,1,mirna,0.725 +/- 0.007,0.684 +/- 0.005,0.723 +/- 0.003,3
TCGA-BRCA,mofa,2,mrna+mirna,0.809 +/- 0.012,0.773 +/- 0.017,0.788 +/- 0.010,3
TCGA-BRCA,mofa,3,mrna+mirna+cnv,0.805 +/- 0.008,0.773 +/- 0.006,0.796 +/- 0.003,3
TCGA-BRCA,mofa,4,mrna+rppa+mirna+cnv,0.820 +/- 0.004,0.786 +/- 0.003,0.803 +/- 0.004,3
TCGA-BRCA,mofa,5,mrna+dnam+rppa+mirna+cnv,0.816 +/- 0.009,0.785 +/- 0.011,0.799 +/- 0.010,3
TCGA-BRCA,pca_logreg,1,mrna,0.796 +/- 0.004,0.777 +/- 0.003,0.786 +/- 0.004,3
TCGA-BRCA,pca_logreg,2,mrna+rppa,0.839 +/- 0.002,0.818 +/- 0.005,0.829 +/- 0.005,3
TCGA-BRCA,pca_logreg,3,mrna+mirna+cnv,0.839 +/- 0.006,0.818 +/- 0.007,0.830 +/- 0.002,3
TCGA-BRCA,pca_logreg,4,mrna+rppa+mirna+cnv,0.850 +/- 0.006,0.836 +/- 0.007,0.844 +/- 0.003,3
TCGA-BRCA,pca_logreg,5,mrna+dnam+rppa+mirna+cnv,0.833 +/- 0.014,0.824 +/- 0.011,0.838 +/- 0.007,3
TCGA-BRCA,pnet,1,rppa,0.705 +/- 0.012,0.747 +/- 0.009,0.782 +/- 0.005,3
TCGA-BRCA,pnet,2,mrna+rppa,0.781 +/- 0.003,0.801 +/- 0.004,0.842 +/- 0.003,3
TCGA-BRCA,pnet,3,mrna+dnam+rppa,0.810 +/- 0.008,0.827 +/- 0.006,0.850 +/- 0.003,3
TCGA-BRCA,pnet,4,mrna+dnam+rppa+cnv,0.823 +/- 0.005,0.827 +/- 0.002,0.850 +/- 0.001,3
TCGA-BRCA,pnet,5,mrna+dnam+rppa+mirna+cnv,0.793 +/- 0.017,0.811 +/- 0.013,0.840 +/- 0.008,3
TCGA-BRCA,svm_early,1,mrna,0.834 +/- 0.005,0.827 +/- 0.005,0.830 +/- 0.003,3
TCGA-BRCA,svm_early,2,mrna+rppa,0.858 +/- 0.004,0.854 +/- 0.002,0.856 +/- 0.004,3
TCGA-BRCA,svm_early,3,mrna+dnam+mirna,0.861 +/- 0.003,0.850 +/- 0.002,0.856 +/- 0.004,3
TCGA-BRCA,svm_early,4,mrna+dnam+rppa+mirna,0.859 +/- 0.002,0.848 +/- 0.003,0.855 +/- 0.010,3
TCGA-BRCA,svm_early,5,mrna+dnam+rppa+mirna+cnv,0.837 +/- 0.008,0.826 +/- 0.007,0.840 +/- 0.007,3
TCGA-KIPAN,integrao,1,rppa,0.877 +/- 0.005,0.879 +/- 0.008,0.898 +/- 0.005,3
TCGA-KIPAN,integrao,2,dnam+rppa,0.915 +/- 0.004,0.907 +/- 0.009,0.932 +/- 0.006,3
TCGA-KIPAN,integrao,3,dnam+rppa+cnv,0.916 +/- 0.010,0.892 +/- 0.003,0.928 +/- 0.002,3
TCGA-KIPAN,integrao,4,dnam+rppa+mirna+cnv,0.891 +/- 0.009,0.867 +/- 0.011,0.905 +/- 0.007,3
TCGA-KIPAN,integrao,5,mrna+dnam+rppa+mirna+cnv,0.877 +/- 0.027,0.860 +/- 0.026,0.900 +/- 0.011,3
TCGA-KIPAN,logreg_early,1,rppa,0.904 +/- 0.004,0.896 +/- 0.005,0.907 +/- 0.004,3
TCGA-KIPAN,logreg_early,2,mrna+rppa,0.965 +/- 0.003,0.938 +/- 0.003,0.963 +/- 0.002,3
TCGA-KIPAN,logreg_early,3,dnam+rppa+mirna,0.966 +/- 0.004,0.942 +/- 0.006,0.964 +/- 0.003,3
TCGA-KIPAN,logreg_early,4,mrna+dnam+rppa+mirna,0.963 +/- 0.010,0.941 +/- 0.011,0.962 +/- 0.005,3
TCGA-KIPAN,logreg_early,5,mrna+dnam+rppa+mirna+cnv,0.964 +/- 0.008,0.945 +/- 0.002,0.966 +/- 0.001,3
TCGA-KIPAN,logreg_late,1,dnam,0.863 +/- 0.007,0.881 +/- 0.004,0.896 +/- 0.005,3
TCGA-KIPAN,logreg_late,2,rppa+mirna,0.942 +/- 0.003,0.948 +/- 0.002,0.970 +/- 0.003,3
TCGA-KIPAN,logreg_late,3,rppa+mirna+cnv,0.973 +/- 0.004,0.963 +/- 0.004,0.975 +/- 0.004,3
TCGA-KIPAN,logreg_late,4,mrna+rppa+mirna+cnv,0.976 +/- 0.004,0.966 +/- 0.003,0.975 +/- 0.002,3
TCGA-KIPAN,logreg_late,5,mrna+dnam+rppa+mirna+cnv,0.977 +/- 0.001,0.964 +/- 0.003,0.974 +/- 0.002,3
TCGA-KIPAN,mofa,1,dnam,0.738 +/- 0.003,0.714 +/- 0.001,0.673 +/- 0.000,3
TCGA-KIPAN,mofa,2,mrna+dnam,0.739 +/- 0.003,0.716 +/- 0.002,0.674 +/- 0.002,3
TCGA-KIPAN,mofa,3,mrna+dnam+mirna,0.712 +/- 0.022,0.684 +/- 0.033,0.667 +/- 0.013,3
TCGA-KIPAN,mofa,4,dnam+rppa+mirna+cnv,0.687 +/- 0.196,0.621 +/- 0.235,0.655 +/- 0.229,3
TCGA-KIPAN,mofa,5,mrna+dnam+rppa+mirna+cnv,0.584 +/- 0.091,0.482 +/- 0.122,0.509 +/- 0.124,3
TCGA-KIPAN,pca_logreg,1,rppa,0.901 +/- 0.005,0.893 +/- 0.008,0.903 +/- 0.004,3
TCGA-KIPAN,pca_logreg,2,dnam+rppa,0.910 +/- 0.005,0.912 +/- 0.003,0.933 +/- 0.002,3
TCGA-KIPAN,pca_logreg,3,dnam+rppa+mirna,0.912 +/- 0.004,0.916 +/- 0.005,0.938 +/- 0.002,3
TCGA-KIPAN,pca_logreg,4,mrna+dnam+rppa+mirna,0.909 +/- 0.002,0.908 +/- 0.003,0.933 +/- 0.002,3
TCGA-KIPAN,pca_logreg,5,mrna+dnam+rppa+mirna+cnv,0.896 +/- 0.005,0.876 +/- 0.002,0.904 +/- 0.002,3
TCGA-KIPAN,pnet,1,rppa,0.881 +/- 0.026,0.897 +/- 0.014,0.906 +/- 0.011,3
TCGA-KIPAN,pnet,2,dnam+rppa,0.912 +/- 0.009,0.931 +/- 0.008,0.950 +/- 0.003,3
TCGA-KIPAN,pnet,3,dnam+rppa+cnv,0.909 +/- 0.005,0.927 +/- 0.006,0.945 +/- 0.003,3
TCGA-KIPAN,pnet,4,dnam+rppa+mirna+cnv,0.916 +/- 0.009,0.931 +/- 0.007,0.947 +/- 0.003,3
TCGA-KIPAN,pnet,5,mrna+dnam+rppa+mirna+cnv,0.911 +/- 0.008,0.928 +/- 0.005,0.944 +/- 0.002,3
TCGA-KIPAN,svm_early,1,rppa,0.888 +/- 0.001,0.894 +/- 0.001,0.897 +/- 0.002,3
TCGA-KIPAN,svm_early,2,mrna+rppa,0.921 +/- 0.002,0.917 +/- 0.002,0.952 +/- 0.001,3
TCGA-KIPAN,svm_early,3,mrna+dnam+rppa,0.919 +/- 0.006,0.933 +/- 0.005,0.959 +/- 0.003,3
TCGA-KIPAN,svm_early,4,mrna+dnam+rppa+cnv,0.921 +/- 0.009,0.935 +/- 0.009,0.958 +/- 0.007,3
TCGA-KIPAN,svm_early,5,mrna+dnam+rppa+mirna+cnv,0.914 +/- 0.002,0.928 +/- 0.003,0.957 +/- 0.003,3
TCGA-LGG,integrao,1,mrna,0.651 +/- 0.006,0.646 +/- 0.006,0.648 +/- 0.006,3
TCGA-LGG,integrao,2,mrna+mirna,0.680 +/- 0.005,0.676 +/- 0.005,0.679 +/- 0.005,3
TCGA-LGG,integrao,3,mrna+dnam+mirna,0.681 +/- 0.007,0.678 +/- 0.007,0.680 +/- 0.007,3
TCGA-LGG,integrao,4,mrna+dnam+rppa+mirna,0.675 +/- 0.003,0.672 +/- 0.004,0.673 +/- 0.003,3
TCGA-LGG,integrao,5,mrna+dnam+rppa+mirna+cnv,0.666 +/- 0.006,0.663 +/- 0.006,0.665 +/- 0.006,3
TCGA-LGG,logreg_early,1,mrna,0.676 +/- 0.011,0.676 +/- 0.010,0.677 +/- 0.010,3
TCGA-LGG,logreg_early,2,mrna+cnv,0.666 +/- 0.020,0.665 +/- 0.019,0.667 +/- 0.019,3
TCGA-LGG,logreg_early,3,mrna+mirna+cnv,0.660 +/- 0.021,0.659 +/- 0.021,0.660 +/- 0.021,3
TCGA-LGG,logreg_early,4,mrna+dnam+mirna+cnv,0.667 +/- 0.021,0.666 +/- 0.021,0.668 +/- 0.021,3
TCGA-LGG,logreg_early,5,mrna+dnam+rppa+mirna+cnv,0.660 +/- 0.021,0.659 +/- 0.021,0.662 +/- 0.019,3
TCGA-LGG,logreg_late,1,mrna,0.673 +/- 0.009,0.672 +/- 0.008,0.673 +/- 0.008,3
TCGA-LGG,logreg_late,2,mrna+rppa,0.679 +/- 0.011,0.677 +/- 0.011,0.678 +/- 0.012,3
TCGA-LGG,logreg_late,3,mrna+rppa+mirna,0.704 +/- 0.010,0.702 +/- 0.009,0.703 +/- 0.009,3
TCGA-LGG,logreg_late,4,mrna+dnam+rppa+mirna,0.705 +/- 0.008,0.703 +/- 0.008,0.705 +/- 0.008,3
TCGA-LGG,logreg_late,5,mrna+dnam+rppa+mirna+cnv,0.682 +/- 0.012,0.679 +/- 0.012,0.680 +/- 0.012,3
TCGA-LGG,mofa,1,mirna,0.618 +/- 0.016,0.617 +/- 0.017,0.618 +/- 0.016,3
TCGA-LGG,mofa,2,mrna+cnv,0.643 +/- 0.007,0.636 +/- 0.004,0.638 +/- 0.005,3
TCGA-LGG,mofa,3,mrna+mirna+cnv,0.684 +/- 0.013,0.677 +/- 0.015,0.680 +/- 0.013,3
TCGA-LGG,mofa,4,mrna+rppa+mirna+cnv,0.693 +/- 0.004,0.688 +/- 0.004,0.689 +/- 0.004,3
TCGA-LGG,mofa,5,mrna+dnam+rppa+mirna+cnv,0.686 +/- 0.003,0.680 +/- 0.003,0.681 +/- 0.003,3
TCGA-LGG,pca_logreg,1,mrna,0.670 +/- 0.011,0.664 +/- 0.010,0.666 +/- 0.010,3
TCGA-LGG,pca_logreg,2,mrna+dnam,0.686 +/- 0.006,0.684 +/- 0.006,0.685 +/- 0.006,3
TCGA-LGG,pca_logreg,3,mrna+mirna+cnv,0.672 +/- 0.010,0.670 +/- 0.010,0.671 +/- 0.010,3
TCGA-LGG,pca_logreg,4,mrna+dnam+rppa+mirna,0.662 +/- 0.016,0.660 +/- 0.016,0.661 +/- 0.016,3
TCGA-LGG,pca_logreg,5,mrna+dnam+rppa+mirna+cnv,0.660 +/- 0.012,0.657 +/- 0.012,0.659 +/- 0.011,3
TCGA-LGG,pnet,1,mrna,0.688 +/- 0.004,0.686 +/- 0.005,0.687 +/- 0.004,3
TCGA-LGG,pnet,2,mrna+dnam,0.703 +/- 0.016,0.701 +/- 0.017,0.702 +/- 0.017,3
TCGA-LGG,pnet,3,mrna+dnam+rppa,0.693 +/- 0.004,0.689 +/- 0.006,0.690 +/- 0.005,3
TCGA-LGG,pnet,4,mrna+dnam+rppa+cnv,0.697 +/- 0.005,0.693 +/- 0.004,0.694 +/- 0.005,3
TCGA-LGG,pnet,5,mrna+dnam+rppa+mirna+cnv,0.687 +/- 0.006,0.684 +/- 0.007,0.685 +/- 0.007,3
TCGA-LGG,svm_early,1,mrna,0.684 +/- 0.020,0.677 +/- 0.020,0.679 +/- 0.020,3
TCGA-LGG,svm_early,2,mrna+dnam,0.694 +/- 0.016,0.689 +/- 0.018,0.691 +/- 0.017,3
TCGA-LGG,svm_early,3,mrna+dnam+cnv,0.694 +/- 0.010,0.689 +/- 0.010,0.690 +/- 0.010,3
TCGA-LGG,svm_early,4,mrna+dnam+rppa+mirna,0.687 +/- 0.006,0.684 +/- 0.007,0.686 +/- 0.006,3
TCGA-LGG,svm_early,5,mrna+dnam+rppa+mirna+cnv,0.689 +/- 0.010,0.686 +/- 0.010,0.687 +/- 0.010,3
