dataset,model,include_non_intersection_frac,balanced_accuracy,macro_f1,accuracy,mcc,macro_roc_auc_ovr,n_units
TCGA-BRCA,logreg_early,0.0,0.872 +/- 0.002,0.869 +/- 0.002,0.877 +/- 0.003,0.802 +/- 0.006,0.970 +/- 0.001,3
TCGA-BRCA,logreg_early,0.25,0.853 +/- 0.014,0.854 +/- 0.013,0.870 +/- 0.010,0.789 +/- 0.016,0.971 +/- 0.002,3
TCGA-BRCA,logreg_early,0.5,0.853 +/- 0.005,0.851 +/- 0.004,0.865 +/- 0.005,0.786 +/- 0.008,0.969 +/- 0.002,3
TCGA-BRCA,logreg_early,0.75,0.849 +/- 0.006,0.845 +/- 0.005,0.860 +/- 0.003,0.781 +/- 0.004,0.969 +/- 0.001,3
TCGA-BRCA,logreg_early,1.0,0.846 +/- 0.003,0.843 +/- 0.002,0.858 +/- 0.002,0.778 +/- 0.002,0.968 +/- 0.001,3
TCGA-BRCA,logreg_late,0.0,0.877 +/- 0.001,0.870 +/- 0.001,0.879 +/- 0.002,0.805 +/- 0.003,0.970 +/- 0.002,3
TCGA-BRCA,logreg_late,0.25,0.871 +/- 0.011,0.864 +/- 0.011,0.874 +/- 0.010,0.799 +/- 0.015,0.970 +/- 0.003,3
TCGA-BRCA,logreg_late,0.5,0.868 +/- 0.007,0.856 +/- 0.004,0.868 +/- 0.001,0.792 +/- 0.001,0.968 +/- 0.001,3
TCGA-BRCA,logreg_late,0.75,0.868 +/- 0.002,0.855 +/- 0.003,0.867 +/- 0.003,0.793 +/- 0.004,0.970 +/- 0.002,3
TCGA-BRCA,logreg_late,1.0,0.867 +/- 0.005,0.852 +/- 0.003,0.864 +/- 0.005,0.789 +/- 0.008,0.968 +/- 0.001,3
TCGA-BRCA,mofa,0.0,0.764 +/- 0.021,0.733 +/- 0.024,0.757 +/- 0.021,0.634 +/- 0.024,0.903 +/- 0.011,3
TCGA-BRCA,mofa,0.25,0.774 +/- 0.012,0.742 +/- 0.010,0.763 +/- 0.004,0.645 +/- 0.008,0.908 +/- 0.005,3
TCGA-BRCA,mofa,0.5,0.777 +/- 0.013,0.748 +/- 0.016,0.770 +/- 0.015,0.657 +/- 0.018,0.912 +/- 0.010,3
TCGA-BRCA,mofa,0.75,0.774 +/- 0.021,0.743 +/- 0.022,0.766 +/- 0.016,0.655 +/- 0.021,0.914 +/- 0.011,3
TCGA-BRCA,mofa,1.0,0.772 +/- 0.009,0.743 +/- 0.006,0.763 +/- 0.007,0.652 +/- 0.011,0.915 +/- 0.005,3
TCGA-BRCA,pca_logreg,0.0,0.845 +/- 0.003,0.837 +/- 0.003,0.851 +/- 0.003,0.761 +/- 0.005,0.955 +/- 0.001,3
TCGA-BRCA,pca_logreg,0.25,0.838 +/- 0.016,0.831 +/- 0.016,0.847 +/- 0.008,0.756 +/- 0.014,0.958 +/- 0.004,3
TCGA-BRCA,pca_logreg,0.5,0.836 +/- 0.001,0.827 +/- 0.002,0.842 +/- 0.005,0.753 +/- 0.007,0.955 +/- 0.003,3
TCGA-BRCA,pca_logreg,0.75,0.839 +/- 0.003,0.827 +/- 0.004,0.838 +/- 0.002,0.751 +/- 0.002,0.959 +/- 0.001,3
TCGA-BRCA,pca_logreg,1.0,0.836 +/- 0.004,0.823 +/- 0.004,0.835 +/- 0.005,0.748 +/- 0.007,0.958 +/- 0.001,3
TCGA-BRCA,pnet,0.0,0.840 +/- 0.006,0.844 +/- 0.006,0.865 +/- 0.004,0.777 +/- 0.006,0.964 +/- 0.002,3
TCGA-BRCA,pnet,0.25,0.808 +/- 0.012,0.825 +/- 0.009,0.853 +/- 0.006,0.755 +/- 0.008,0.928 +/- 0.008,3
TCGA-BRCA,pnet,0.5,0.827 +/- 0.005,0.837 +/- 0.004,0.863 +/- 0.001,0.776 +/- 0.002,0.967 +/- 0.001,3
TCGA-BRCA,pnet,0.75,0.816 +/- 0.020,0.829 +/- 0.014,0.853 +/- 0.009,0.763 +/- 0.017,0.948 +/- 0.025,3
TCGA-BRCA,pnet,1.0,0.784 +/- 0.010,0.803 +/- 0.007,0.832 +/- 0.003,0.728 +/- 0.006,0.899 +/- 0.020,3
TCGA-BRCA,svm_early,0.0,0.779 +/- 0.004,0.754 +/- 0.004,0.778 +/- 0.003,0.683 +/- 0.006,0.953 +/- 0.001,3
TCGA-BRCA,svm_early,0.25,0.763 +/- 0.014,0.746 +/- 0.013,0.781 +/- 0.008,0.674 +/- 0.011,0.949 +/- 0.007,3
TCGA-BRCA,svm_early,0.5,0.768 +/- 0.010,0.744 +/- 0.006,0.773 +/- 0.011,0.675 +/- 0.007,0.950 +/- 0.002,3
TCGA-BRCA,svm_early,0.75,0.768 +/- 0.007,0.746 +/- 0.012,0.773 +/- 0.016,0.682 +/- 0.009,0.948 +/- 0.002,3
TCGA-BRCA,svm_early,1.0,0.765 +/- 0.004,0.742 +/- 0.004,0.775 +/- 0.004,0.672 +/- 0.005,0.947 +/- 0.001,3
TCGA-KIPAN,logreg_early,0.0,0.977 +/- 0.001,0.980 +/- 0.003,0.982 +/- 0.001,0.970 +/- 0.001,0.998 +/- 0.001,3
TCGA-KIPAN,logreg_early,0.25,0.972 +/- 0.013,0.968 +/- 0.016,0.977 +/- 0.008,0.961 +/- 0.015,0.996 +/- 0.001,3
TCGA-KIPAN,logreg_early,0.5,0.957 +/- 0.004,0.944 +/- 0.010,0.965 +/- 0.005,0.938 +/- 0.010,0.995 +/- 0.001,3
TCGA-KIPAN,logreg_early,0.75,0.956 +/- 0.002,0.944 +/- 0.005,0.964 +/- 0.002,0.935 +/- 0.004,0.995 +/- 0.000,3
TCGA-KIPAN,logreg_early,1.0,0.957 +/- 0.004,0.942 +/- 0.002,0.964 +/- 0.001,0.935 +/- 0.003,0.994 +/- 0.004,3
TCGA-KIPAN,logreg_late,0.0,0.969 +/- 0.002,0.972 +/- 0.002,0.971 +/- 0.003,0.951 +/- 0.004,0.997 +/- 0.000,3
TCGA-KIPAN,logreg_late,0.25,0.967 +/- 0.007,0.955 +/- 0.007,0.967 +/- 0.006,0.943 +/- 0.009,0.994 +/- 0.002,3
TCGA-KIPAN,logreg_late,0.5,0.968 +/- 0.002,0.958 +/- 0.005,0.969 +/- 0.002,0.945 +/- 0.004,0.995 +/- 0.001,3
TCGA-KIPAN,logreg_late,0.75,0.968 +/- 0.002,0.954 +/- 0.004,0.968 +/- 0.002,0.942 +/- 0.003,0.996 +/- 0.000,3
TCGA-KIPAN,logreg_late,1.0,0.971 +/- 0.000,0.957 +/- 0.001,0.971 +/- 0.001,0.946 +/- 0.002,0.997 +/- 0.000,3
TCGA-KIPAN,mofa,0.0,0.863 +/- 0.012,0.846 +/- 0.015,0.859 +/- 0.011,0.789 +/- 0.015,0.921 +/- 0.009,3
TCGA-KIPAN,mofa,0.25,0.725 +/- 0.038,0.679 +/- 0.053,0.703 +/- 0.050,0.564 +/- 0.053,0.805 +/- 0.033,3
TCGA-KIPAN,mofa,0.5,0.674 +/- 0.047,0.626 +/- 0.053,0.674 +/- 0.048,0.498 +/- 0.069,0.775 +/- 0.042,3
TCGA-KIPAN,mofa,0.75,0.689 +/- 0.034,0.640 +/- 0.042,0.685 +/- 0.040,0.517 +/- 0.055,0.787 +/- 0.033,3
TCGA-KIPAN,mofa,1.0,0.640 +/- 0.025,0.593 +/- 0.030,0.648 +/- 0.026,0.446 +/- 0.036,0.749 +/- 0.026,3
TCGA-KIPAN,pca_logreg,0.0,0.943 +/- 0.011,0.941 +/- 0.016,0.948 +/- 0.009,0.914 +/- 0.013,0.965 +/- 0.014,3
TCGA-KIPAN,pca_logreg,0.25,0.934 +/- 0.027,0.929 +/- 0.026,0.939 +/- 0.013,0.894 +/- 0.023,0.976 +/- 0.012,3
TCGA-KIPAN,pca_logreg,0.5,0.904 +/- 0.012,0.901 +/- 0.019,0.920 +/- 0.010,0.857 +/- 0.018,0.969 +/- 0.009,3
TCGA-KIPAN,pca_logreg,0.75,0.906 +/- 0.012,0.903 +/- 0.012,0.923 +/- 0.007,0.859 +/- 0.011,0.979 +/- 0.002,3
TCGA-KIPAN,pca_logreg,1.0,0.889 +/- 0.003,0.886 +/- 0.004,0.911 +/- 0.002,0.837 +/- 0.004,0.975 +/- 0.004,3
TCGA-KIPAN,pnet,0.0,0.956 +/- 0.006,0.961 +/- 0.007,0.973 +/- 0.002,0.955 +/- 0.003,0.996 +/- 0.001,3
TCGA-KIPAN,pnet,0.25,0.957 +/- 0.018,0.957 +/- 0.012,0.963 +/- 0.009,0.936 +/- 0.015,0.995 +/- 0.001,3
TCGA-KIPAN,pnet,0.75,0.924 +/- 0.012,0.938 +/- 0.008,0.951 +/- 0.004,0.910 +/- 0.006,0.992 +/- 0.003,3
TCGA-KIPAN,pnet,1.0,0.908 +/- 0.007,0.925 +/- 0.004,0.943 +/- 0.004,0.893 +/- 0.007,0.988 +/- 0.007,3
TCGA-KIPAN,svm_early,0.0,0.892 +/- 0.002,0.861 +/- 0.004,0.883 +/- 0.003,0.836 +/- 0.004,0.986 +/- 0.001,3
TCGA-KIPAN,svm_early,0.25,0.880 +/- 0.022,0.853 +/- 0.020,0.895 +/- 0.012,0.821 +/- 0.018,0.982 +/- 0.010,3
TCGA-KIPAN,svm_early,0.5,0.871 +/- 0.006,0.847 +/- 0.012,0.894 +/- 0.022,0.825 +/- 0.010,0.974 +/- 0.003,3
TCGA-KIPAN,svm_early,0.75,0.911 +/- 0.003,0.902 +/- 0.006,0.933 +/- 0.004,0.879 +/- 0.007,0.976 +/- 0.002,3
TCGA-KIPAN,svm_early,1.0,0.925 +/- 0.001,0.911 +/- 0.001,0.944 +/- 0.001,0.899 +/- 0.002,0.974 +/- 0.000,3
TCGA-LGG,logreg_early,0.0,0.634 +/- 0.013,0.632 +/- 0.014,0.635 +/- 0.013,0.271 +/- 0.026,0.690 +/- 0.011,3
TCGA-LGG,logreg_early,0.25,0.655 +/- 0.027,0.652 +/- 0.028,0.655 +/- 0.027,0.313 +/- 0.054,0.712 +/- 0.030,3
TCGA-LGG,logreg_early,0.5,0.659 +/- 0.013,0.657 +/- 0.012,0.659 +/- 0.013,0.321 +/- 0.027,0.721 +/- 0.015,3
TCGA-LGG,logreg_early,0.75,0.665 +/- 0.005,0.663 +/- 0.006,0.665 +/- 0.005,0.333 +/- 0.008,0.723 +/- 0.009,3
TCGA-LGG,logreg_early,1.0,0.661 +/- 0.014,0.659 +/- 0.013,0.661 +/- 0.013,0.324 +/- 0.027,0.721 +/- 0.020,3
TCGA-LGG,logreg_late,0.0,0.665 +/- 0.016,0.661 +/- 0.016,0.663 +/- 0.016,0.336 +/- 0.032,0.722 +/- 0.016,3
TCGA-LGG,logreg_late,0.25,0.669 +/- 0.021,0.664 +/- 0.022,0.668 +/- 0.020,0.346 +/- 0.038,0.737 +/- 0.019,3
TCGA-LGG,logreg_late,0.5,0.678 +/- 0.008,0.674 +/- 0.008,0.676 +/- 0.008,0.362 +/- 0.017,0.744 +/- 0.003,3
TCGA-LGG,logreg_late,0.75,0.685 +/- 0.008,0.681 +/- 0.008,0.682 +/- 0.008,0.376 +/- 0.018,0.750 +/- 0.010,3
TCGA-LGG,logreg_late,1.0,0.682 +/- 0.011,0.678 +/- 0.011,0.679 +/- 0.012,0.367 +/- 0.023,0.752 +/- 0.013,3
TCGA-LGG,mofa,0.0,0.668 +/- 0.013,0.662 +/- 0.014,0.666 +/- 0.013,0.343 +/- 0.025,0.727 +/- 0.009,3
TCGA-LGG,mofa,0.25,0.671 +/- 0.006,0.666 +/- 0.007,0.669 +/- 0.007,0.350 +/- 0.012,0.733 +/- 0.003,3
TCGA-LGG,mofa,0.5,0.674 +/- 0.011,0.669 +/- 0.010,0.671 +/- 0.010,0.355 +/- 0.021,0.739 +/- 0.016,3
TCGA-LGG,mofa,0.75,0.685 +/- 0.003,0.680 +/- 0.003,0.682 +/- 0.003,0.378 +/- 0.005,0.742 +/- 0.004,3
TCGA-LGG,mofa,1.0,0.682 +/- 0.005,0.676 +/- 0.004,0.678 +/- 0.004,0.369 +/- 0.011,0.744 +/- 0.008,3
TCGA-LGG,pca_logreg,0.0,0.635 +/- 0.002,0.632 +/- 0.002,0.635 +/- 0.002,0.274 +/- 0.005,0.682 +/- 0.000,3
TCGA-LGG,pca_logreg,0.25,0.647 +/- 0.020,0.644 +/- 0.019,0.646 +/- 0.019,0.298 +/- 0.041,0.700 +/- 0.025,3
TCGA-LGG,pca_logreg,0.5,0.662 +/- 0.009,0.659 +/- 0.009,0.661 +/- 0.009,0.327 +/- 0.019,0.721 +/- 0.006,3
TCGA-LGG,pca_logreg,0.75,0.658 +/- 0.004,0.655 +/- 0.004,0.657 +/- 0.004,0.320 +/- 0.008,0.712 +/- 0.010,3
TCGA-LGG,pca_logreg,1.0,0.657 +/- 0.010,0.653 +/- 0.010,0.655 +/- 0.010,0.316 +/- 0.019,0.715 +/- 0.010,3
TCGA-LGG,pnet,0.0,0.643 +/- 0.004,0.641 +/- 0.004,0.643 +/- 0.004,0.290 +/- 0.008,0.696 +/- 0.005,3
TCGA-LGG,pnet,0.25,0.667 +/- 0.020,0.663 +/- 0.021,0.666 +/- 0.020,0.338 +/- 0.040,0.731 +/- 0.024,3
TCGA-LGG,pnet,0.5,0.664 +/- 0.007,0.662 +/- 0.007,0.664 +/- 0.007,0.332 +/- 0.013,0.728 +/- 0.005,3
TCGA-LGG,pnet,0.75,0.665 +/- 0.013,0.661 +/- 0.013,0.664 +/- 0.013,0.335 +/- 0.026,0.735 +/- 0.014,3
TCGA-LGG,pnet,1.0,0.672 +/- 0.006,0.670 +/- 0.005,0.671 +/- 0.005,0.347 +/- 0.012,0.737 +/- 0.009,3
TCGA-LGG,svm_early,0.0,0.620 +/- 0.011,0.597 +/- 0.012,0.621 +/- 0.011,0.243 +/- 0.021,0.699 +/- 0.007,3
TCGA-LGG,svm_early,0.25,0.636 +/- 0.022,0.612 +/- 0.022,0.636 +/- 0.021,0.275 +/- 0.044,0.712 +/- 0.025,3
TCGA-LGG,svm_early,0.5,0.637 +/- 0.008,0.614 +/- 0.007,0.637 +/- 0.007,0.278 +/- 0.018,0.721 +/- 0.009,3
TCGA-LGG,svm_early,0.75,0.644 +/- 0.001,0.620 +/- 0.001,0.641 +/- 0.002,0.291 +/- 0.002,0.726 +/- 0.005,3
TCGA-LGG,svm_early,1.0,0.639 +/- 0.011,0.615 +/- 0.011,0.637 +/- 0.011,0.280 +/- 0.023,0.723 +/- 0.017,3
