dataset,method,feature_fraction_per_omic,balanced_accuracy,macro_f1,accuracy,mcc,n_evaluation_units
TCGA-BRCA,logreg_early,1e-05,0.717 +/- 0.006,0.672 +/- 0.004,0.669 +/- 0.007,0.523 +/- 0.007,3
TCGA-BRCA,logreg_early,0.0001,0.751 +/- 0.006,0.717 +/- 0.004,0.718 +/- 0.002,0.582 +/- 0.003,3
TCGA-BRCA,logreg_early,0.001,0.805 +/- 0.002,0.792 +/- 0.004,0.786 +/- 0.004,0.673 +/- 0.005,3
TCGA-BRCA,logreg_early,0.01,0.836 +/- 0.003,0.832 +/- 0.005,0.858 +/- 0.009,0.777 +/- 0.014,3
TCGA-BRCA,logreg_early,0.02,0.835 +/- 0.001,0.833 +/- 0.001,0.861 +/- 0.002,0.781 +/- 0.002,3
TCGA-BRCA,logreg_early,0.05,0.842 +/- 0.006,0.840 +/- 0.005,0.866 +/- 0.007,0.788 +/- 0.010,3
TCGA-BRCA,logreg_early,0.1,0.846 +/- 0.010,0.847 +/- 0.004,0.872 +/- 0.003,0.798 +/- 0.004,3
TCGA-BRCA,logreg_early,0.2,0.833 +/- 0.018,0.838 +/- 0.013,0.866 +/- 0.008,0.787 +/- 0.014,3
TCGA-BRCA,logreg_early,0.25,0.829 +/- 0.015,0.834 +/- 0.010,0.863 +/- 0.005,0.781 +/- 0.008,3
TCGA-BRCA,logreg_early,0.5,0.815 +/- 0.018,0.821 +/- 0.014,0.854 +/- 0.009,0.767 +/- 0.014,3
TCGA-BRCA,logreg_early,0.75,0.804 +/- 0.012,0.813 +/- 0.011,0.848 +/- 0.008,0.757 +/- 0.012,3
TCGA-BRCA,logreg_early,1.0,0.800 +/- 0.009,0.810 +/- 0.008,0.847 +/- 0.003,0.755 +/- 0.004,3
TCGA-BRCA,logreg_late,1e-05,0.701 +/- 0.001,0.633 +/- 0.006,0.603 +/- 0.012,0.484 +/- 0.007,3
TCGA-BRCA,logreg_late,0.0001,0.771 +/- 0.001,0.731 +/- 0.002,0.723 +/- 0.002,0.607 +/- 0.002,3
TCGA-BRCA,logreg_late,0.001,0.831 +/- 0.004,0.812 +/- 0.005,0.804 +/- 0.003,0.704 +/- 0.004,3
TCGA-BRCA,logreg_late,0.01,0.856 +/- 0.007,0.849 +/- 0.008,0.864 +/- 0.009,0.786 +/- 0.014,3
TCGA-BRCA,logreg_late,0.02,0.860 +/- 0.004,0.855 +/- 0.005,0.873 +/- 0.007,0.800 +/- 0.010,3
TCGA-BRCA,logreg_late,0.05,0.868 +/- 0.002,0.861 +/- 0.002,0.876 +/- 0.003,0.805 +/- 0.004,3
TCGA-BRCA,logreg_late,0.1,0.859 +/- 0.003,0.859 +/- 0.005,0.877 +/- 0.003,0.804 +/- 0.004,3
TCGA-BRCA,logreg_late,0.2,0.855 +/- 0.001,0.858 +/- 0.003,0.876 +/- 0.003,0.803 +/- 0.005,3
TCGA-BRCA,logreg_late,0.25,0.857 +/- 0.002,0.861 +/- 0.003,0.879 +/- 0.003,0.807 +/- 0.004,3
TCGA-BRCA,logreg_late,0.5,0.839 +/- 0.008,0.846 +/- 0.006,0.870 +/- 0.004,0.792 +/- 0.007,3
TCGA-BRCA,logreg_late,0.75,0.834 +/- 0.005,0.842 +/- 0.003,0.866 +/- 0.001,0.786 +/- 0.002,3
TCGA-BRCA,logreg_late,1.0,0.830 +/- 0.003,0.839 +/- 0.005,0.861 +/- 0.005,0.778 +/- 0.007,3
TCGA-BRCA,mofa,1e-05,0.398 +/- 0.009,0.264 +/- 0.004,0.279 +/- 0.002,0.147 +/- 0.010,3
TCGA-BRCA,mofa,0.0001,0.576 +/- 0.015,0.508 +/- 0.027,0.509 +/- 0.018,0.328 +/- 0.015,3
TCGA-BRCA,mofa,0.001,0.639 +/- 0.057,0.599 +/- 0.068,0.622 +/- 0.065,0.467 +/- 0.068,3
TCGA-BRCA,mofa,0.01,0.746 +/- 0.010,0.710 +/- 0.011,0.734 +/- 0.011,0.612 +/- 0.013,3
TCGA-BRCA,mofa,0.02,0.747 +/- 0.014,0.714 +/- 0.015,0.756 +/- 0.006,0.640 +/- 0.009,3
TCGA-BRCA,mofa,0.05,0.759 +/- 0.006,0.729 +/- 0.006,0.767 +/- 0.003,0.657 +/- 0.004,3
TCGA-BRCA,mofa,0.1,0.758 +/- 0.004,0.731 +/- 0.003,0.764 +/- 0.005,0.651 +/- 0.005,3
TCGA-BRCA,mofa,0.2,0.757 +/- 0.004,0.725 +/- 0.004,0.765 +/- 0.006,0.650 +/- 0.007,3
TCGA-BRCA,mofa,0.25,0.754 +/- 0.004,0.721 +/- 0.003,0.761 +/- 0.003,0.646 +/- 0.005,3
TCGA-BRCA,mofa,0.5,0.756 +/- 0.006,0.720 +/- 0.007,0.762 +/- 0.005,0.647 +/- 0.007,3
TCGA-BRCA,mofa,0.75,0.753 +/- 0.002,0.715 +/- 0.004,0.757 +/- 0.004,0.642 +/- 0.005,3
TCGA-BRCA,mofa,1.0,0.744 +/- 0.005,0.706 +/- 0.005,0.754 +/- 0.004,0.637 +/- 0.006,3
TCGA-BRCA,pnet,1e-05,0.637 +/- 0.003,0.626 +/- 0.001,0.738 +/- 0.001,0.578 +/- 0.002,3
TCGA-BRCA,pnet,0.0001,0.675 +/- 0.002,0.683 +/- 0.005,0.762 +/- 0.002,0.615 +/- 0.002,3
TCGA-BRCA,pnet,0.001,0.768 +/- 0.010,0.776 +/- 0.009,0.806 +/- 0.001,0.688 +/- 0.003,3
TCGA-BRCA,pnet,0.01,0.815 +/- 0.008,0.823 +/- 0.005,0.844 +/- 0.005,0.751 +/- 0.008,3
TCGA-BRCA,pnet,0.02,0.793 +/- 0.017,0.807 +/- 0.010,0.834 +/- 0.006,0.733 +/- 0.011,3
TCGA-BRCA,pnet,0.05,0.814 +/- 0.019,0.826 +/- 0.013,0.850 +/- 0.008,0.759 +/- 0.015,3
TCGA-BRCA,pnet,0.1,0.817 +/- 0.012,0.828 +/- 0.008,0.853 +/- 0.007,0.765 +/- 0.011,3
TCGA-BRCA,pnet,0.2,0.813 +/- 0.017,0.823 +/- 0.010,0.849 +/- 0.007,0.758 +/- 0.013,3
TCGA-BRCA,pnet,0.25,0.808 +/- 0.014,0.818 +/- 0.007,0.846 +/- 0.005,0.753 +/- 0.009,3
TCGA-BRCA,svm_early,1e-05,0.692 +/- 0.002,0.636 +/- 0.002,0.637 +/- 0.005,0.497 +/- 0.004,3
TCGA-BRCA,svm_early,0.0001,0.717 +/- 0.004,0.680 +/- 0.003,0.684 +/- 0.003,0.552 +/- 0.004,3
TCGA-BRCA,svm_early,0.001,0.727 +/- 0.005,0.703 +/- 0.004,0.718 +/- 0.008,0.595 +/- 0.011,3
TCGA-BRCA,svm_early,0.01,0.746 +/- 0.008,0.724 +/- 0.007,0.761 +/- 0.007,0.651 +/- 0.010,3
TCGA-BRCA,svm_early,0.02,0.744 +/- 0.003,0.722 +/- 0.003,0.763 +/- 0.003,0.653 +/- 0.005,3
TCGA-BRCA,svm_early,0.05,0.751 +/- 0.004,0.731 +/- 0.004,0.768 +/- 0.003,0.663 +/- 0.004,3
TCGA-BRCA,svm_early,0.1,0.741 +/- 0.006,0.724 +/- 0.007,0.764 +/- 0.004,0.656 +/- 0.006,3
TCGA-BRCA,svm_early,0.2,0.730 +/- 0.007,0.716 +/- 0.005,0.757 +/- 0.005,0.648 +/- 0.008,3
TCGA-BRCA,svm_early,0.25,0.723 +/- 0.005,0.708 +/- 0.006,0.752 +/- 0.005,0.639 +/- 0.007,3
TCGA-BRCA,svm_early,0.5,0.709 +/- 0.013,0.696 +/- 0.012,0.743 +/- 0.007,0.626 +/- 0.012,3
TCGA-BRCA,svm_early,0.75,0.697 +/- 0.008,0.686 +/- 0.008,0.735 +/- 0.005,0.614 +/- 0.007,3
TCGA-BRCA,svm_early,1.0,0.684 +/- 0.007,0.673 +/- 0.007,0.727 +/- 0.003,0.601 +/- 0.005,3
TCGA-KIPAN,logreg_early,1e-05,0.844 +/- 0.020,0.847 +/- 0.029,0.870 +/- 0.033,0.763 +/- 0.050,3
TCGA-KIPAN,logreg_early,0.0001,0.887 +/- 0.007,0.892 +/- 0.007,0.915 +/- 0.007,0.842 +/- 0.014,3
TCGA-KIPAN,logreg_early,0.001,0.913 +/- 0.007,0.897 +/- 0.004,0.929 +/- 0.004,0.870 +/- 0.007,3
TCGA-KIPAN,logreg_early,0.01,0.941 +/- 0.007,0.924 +/- 0.007,0.949 +/- 0.005,0.906 +/- 0.009,3
TCGA-KIPAN,logreg_early,0.02,0.941 +/- 0.008,0.932 +/- 0.006,0.953 +/- 0.004,0.913 +/- 0.008,3
TCGA-KIPAN,logreg_early,0.05,0.943 +/- 0.004,0.930 +/- 0.002,0.954 +/- 0.002,0.916 +/- 0.004,3
TCGA-KIPAN,logreg_early,0.1,0.943 +/- 0.002,0.931 +/- 0.002,0.954 +/- 0.002,0.915 +/- 0.004,3
TCGA-KIPAN,logreg_early,0.2,0.952 +/- 0.002,0.946 +/- 0.004,0.961 +/- 0.004,0.928 +/- 0.007,3
TCGA-KIPAN,logreg_early,0.25,0.947 +/- 0.004,0.942 +/- 0.007,0.960 +/- 0.004,0.925 +/- 0.007,3
TCGA-KIPAN,logreg_early,0.5,0.944 +/- 0.005,0.944 +/- 0.004,0.959 +/- 0.003,0.924 +/- 0.005,3
TCGA-KIPAN,logreg_early,0.75,0.947 +/- 0.004,0.945 +/- 0.004,0.959 +/- 0.003,0.924 +/- 0.005,3
TCGA-KIPAN,logreg_early,1.0,0.944 +/- 0.006,0.944 +/- 0.008,0.958 +/- 0.004,0.923 +/- 0.008,3
TCGA-KIPAN,logreg_late,1e-05,0.881 +/- 0.005,0.851 +/- 0.009,0.860 +/- 0.016,0.761 +/- 0.025,3
TCGA-KIPAN,logreg_late,0.0001,0.916 +/- 0.007,0.896 +/- 0.009,0.913 +/- 0.012,0.843 +/- 0.020,3
TCGA-KIPAN,logreg_late,0.001,0.937 +/- 0.008,0.920 +/- 0.008,0.942 +/- 0.005,0.893 +/- 0.009,3
TCGA-KIPAN,logreg_late,0.01,0.960 +/- 0.002,0.941 +/- 0.001,0.962 +/- 0.001,0.931 +/- 0.002,3
TCGA-KIPAN,logreg_late,0.02,0.959 +/- 0.003,0.939 +/- 0.004,0.962 +/- 0.003,0.931 +/- 0.005,3
TCGA-KIPAN,logreg_late,0.05,0.958 +/- 0.004,0.943 +/- 0.005,0.964 +/- 0.003,0.933 +/- 0.005,3
TCGA-KIPAN,logreg_late,0.1,0.962 +/- 0.002,0.947 +/- 0.004,0.965 +/- 0.003,0.935 +/- 0.005,3
TCGA-KIPAN,logreg_late,0.2,0.965 +/- 0.002,0.952 +/- 0.003,0.968 +/- 0.003,0.942 +/- 0.005,3
TCGA-KIPAN,logreg_late,0.25,0.964 +/- 0.003,0.951 +/- 0.003,0.968 +/- 0.003,0.942 +/- 0.006,3
TCGA-KIPAN,logreg_late,0.5,0.960 +/- 0.001,0.949 +/- 0.004,0.967 +/- 0.003,0.940 +/- 0.005,3
TCGA-KIPAN,logreg_late,0.75,0.959 +/- 0.000,0.946 +/- 0.003,0.965 +/- 0.002,0.935 +/- 0.003,3
TCGA-KIPAN,logreg_late,1.0,0.959 +/- 0.003,0.945 +/- 0.005,0.964 +/- 0.003,0.934 +/- 0.005,3
TCGA-KIPAN,mofa,1e-05,0.526 +/- 0.004,0.491 +/- 0.009,0.673 +/- 0.017,0.441 +/- 0.022,3
TCGA-KIPAN,mofa,0.0001,0.685 +/- 0.038,0.608 +/- 0.030,0.696 +/- 0.031,0.492 +/- 0.049,3
TCGA-KIPAN,mofa,0.001,0.526 +/- 0.016,0.486 +/- 0.015,0.681 +/- 0.038,0.452 +/- 0.045,3
TCGA-KIPAN,mofa,0.01,0.803 +/- 0.006,0.741 +/- 0.005,0.793 +/- 0.006,0.667 +/- 0.005,3
TCGA-KIPAN,mofa,0.02,0.791 +/- 0.009,0.705 +/- 0.010,0.757 +/- 0.009,0.612 +/- 0.009,3
TCGA-KIPAN,mofa,0.05,0.742 +/- 0.008,0.648 +/- 0.018,0.708 +/- 0.025,0.565 +/- 0.025,3
TCGA-KIPAN,mofa,0.1,0.736 +/- 0.009,0.629 +/- 0.007,0.691 +/- 0.008,0.564 +/- 0.008,3
TCGA-KIPAN,mofa,0.2,0.608 +/- 0.019,0.549 +/- 0.019,0.610 +/- 0.024,0.432 +/- 0.028,3
TCGA-KIPAN,mofa,0.25,0.631 +/- 0.013,0.551 +/- 0.008,0.606 +/- 0.010,0.435 +/- 0.013,3
TCGA-KIPAN,mofa,0.5,0.640 +/- 0.008,0.560 +/- 0.007,0.614 +/- 0.011,0.446 +/- 0.012,3
TCGA-KIPAN,mofa,0.75,0.634 +/- 0.012,0.553 +/- 0.007,0.602 +/- 0.006,0.425 +/- 0.007,3
TCGA-KIPAN,mofa,1.0,0.644 +/- 0.008,0.557 +/- 0.008,0.607 +/- 0.008,0.421 +/- 0.006,3
TCGA-KIPAN,svm_early,1e-05,0.839 +/- 0.023,0.844 +/- 0.037,0.867 +/- 0.035,0.758 +/- 0.052,3
TCGA-KIPAN,svm_early,0.0001,0.866 +/- 0.004,0.874 +/- 0.003,0.898 +/- 0.004,0.813 +/- 0.009,3
TCGA-KIPAN,svm_early,0.001,0.881 +/- 0.005,0.874 +/- 0.003,0.908 +/- 0.001,0.833 +/- 0.002,3
TCGA-KIPAN,svm_early,0.01,0.902 +/- 0.004,0.880 +/- 0.005,0.919 +/- 0.005,0.854 +/- 0.008,3
TCGA-KIPAN,svm_early,0.02,0.900 +/- 0.008,0.881 +/- 0.007,0.919 +/- 0.004,0.854 +/- 0.008,3
TCGA-KIPAN,svm_early,0.05,0.874 +/- 0.007,0.837 +/- 0.006,0.889 +/- 0.004,0.817 +/- 0.007,3
TCGA-KIPAN,svm_early,0.1,0.864 +/- 0.004,0.825 +/- 0.004,0.871 +/- 0.002,0.801 +/- 0.004,3
TCGA-KIPAN,svm_early,0.2,0.867 +/- 0.003,0.826 +/- 0.001,0.867 +/- 0.000,0.799 +/- 0.001,3
TCGA-KIPAN,svm_early,0.25,0.862 +/- 0.002,0.820 +/- 0.004,0.863 +/- 0.004,0.793 +/- 0.007,3
TCGA-KIPAN,svm_early,0.5,0.850 +/- 0.005,0.805 +/- 0.005,0.846 +/- 0.003,0.775 +/- 0.006,3
TCGA-KIPAN,svm_early,0.75,0.827 +/- 0.001,0.790 +/- 0.002,0.829 +/- 0.000,0.751 +/- 0.002,3
TCGA-KIPAN,svm_early,1.0,0.884 +/- 0.003,0.876 +/- 0.004,0.905 +/- 0.003,0.834 +/- 0.006,3
TCGA-LGG,logreg_early,1e-05,0.666 +/- 0.014,0.661 +/- 0.014,0.662 +/- 0.013,0.337 +/- 0.026,3
TCGA-LGG,logreg_early,0.0001,0.691 +/- 0.008,0.686 +/- 0.007,0.688 +/- 0.008,0.387 +/- 0.017,3
TCGA-LGG,logreg_early,0.001,0.653 +/- 0.008,0.651 +/- 0.010,0.653 +/- 0.008,0.309 +/- 0.014,3
TCGA-LGG,logreg_early,0.01,0.686 +/- 0.010,0.684 +/- 0.010,0.685 +/- 0.009,0.374 +/- 0.019,3
TCGA-LGG,logreg_early,0.02,0.672 +/- 0.010,0.670 +/- 0.008,0.671 +/- 0.008,0.346 +/- 0.020,3
TCGA-LGG,logreg_early,0.05,0.679 +/- 0.006,0.677 +/- 0.005,0.678 +/- 0.006,0.360 +/- 0.014,3
TCGA-LGG,logreg_early,0.1,0.677 +/- 0.018,0.674 +/- 0.016,0.676 +/- 0.017,0.358 +/- 0.038,3
TCGA-LGG,logreg_early,0.2,0.677 +/- 0.012,0.675 +/- 0.011,0.676 +/- 0.012,0.357 +/- 0.026,3
TCGA-LGG,logreg_early,0.25,0.684 +/- 0.019,0.682 +/- 0.018,0.683 +/- 0.018,0.371 +/- 0.039,3
TCGA-LGG,logreg_early,0.5,0.693 +/- 0.016,0.691 +/- 0.014,0.692 +/- 0.015,0.389 +/- 0.033,3
TCGA-LGG,logreg_early,0.75,0.694 +/- 0.019,0.692 +/- 0.017,0.693 +/- 0.017,0.390 +/- 0.039,3
TCGA-LGG,logreg_early,1.0,0.699 +/- 0.020,0.697 +/- 0.019,0.698 +/- 0.019,0.401 +/- 0.042,3
TCGA-LGG,logreg_late,1e-05,0.661 +/- 0.019,0.653 +/- 0.018,0.656 +/- 0.018,0.331 +/- 0.038,3
TCGA-LGG,logreg_late,0.0001,0.688 +/- 0.008,0.681 +/- 0.007,0.683 +/- 0.007,0.385 +/- 0.017,3
TCGA-LGG,logreg_late,0.001,0.675 +/- 0.008,0.670 +/- 0.008,0.672 +/- 0.007,0.355 +/- 0.015,3
TCGA-LGG,logreg_late,0.01,0.695 +/- 0.004,0.690 +/- 0.003,0.692 +/- 0.004,0.395 +/- 0.009,3
TCGA-LGG,logreg_late,0.02,0.692 +/- 0.001,0.687 +/- 0.001,0.688 +/- 0.001,0.387 +/- 0.002,3
TCGA-LGG,logreg_late,0.05,0.692 +/- 0.003,0.688 +/- 0.003,0.689 +/- 0.002,0.389 +/- 0.006,3
TCGA-LGG,logreg_late,0.1,0.681 +/- 0.012,0.677 +/- 0.012,0.678 +/- 0.012,0.365 +/- 0.024,3
TCGA-LGG,logreg_late,0.2,0.692 +/- 0.014,0.688 +/- 0.014,0.689 +/- 0.014,0.386 +/- 0.028,3
TCGA-LGG,logreg_late,0.25,0.699 +/- 0.010,0.695 +/- 0.010,0.696 +/- 0.010,0.400 +/- 0.020,3
TCGA-LGG,logreg_late,0.5,0.704 +/- 0.013,0.701 +/- 0.013,0.702 +/- 0.012,0.410 +/- 0.025,3
TCGA-LGG,logreg_late,0.75,0.713 +/- 0.010,0.709 +/- 0.010,0.710 +/- 0.010,0.427 +/- 0.018,3
TCGA-LGG,logreg_late,1.0,0.714 +/- 0.019,0.711 +/- 0.019,0.712 +/- 0.018,0.431 +/- 0.037,3
TCGA-LGG,mofa,1e-05,0.527 +/- 0.016,0.525 +/- 0.016,0.527 +/- 0.015,0.054 +/- 0.032,3
TCGA-LGG,mofa,0.0001,0.670 +/- 0.013,0.663 +/- 0.013,0.665 +/- 0.013,0.346 +/- 0.029,3
TCGA-LGG,mofa,0.001,0.643 +/- 0.018,0.635 +/- 0.018,0.638 +/- 0.018,0.293 +/- 0.038,3
TCGA-LGG,mofa,0.01,0.667 +/- 0.011,0.659 +/- 0.011,0.662 +/- 0.010,0.342 +/- 0.022,3
TCGA-LGG,mofa,0.02,0.683 +/- 0.006,0.677 +/- 0.006,0.679 +/- 0.006,0.373 +/- 0.013,3
TCGA-LGG,mofa,0.05,0.684 +/- 0.005,0.677 +/- 0.005,0.679 +/- 0.005,0.374 +/- 0.009,3
TCGA-LGG,mofa,0.1,0.689 +/- 0.005,0.681 +/- 0.005,0.684 +/- 0.005,0.386 +/- 0.011,3
TCGA-LGG,mofa,0.2,0.684 +/- 0.002,0.677 +/- 0.002,0.679 +/- 0.002,0.375 +/- 0.005,3
TCGA-LGG,mofa,0.25,0.684 +/- 0.003,0.678 +/- 0.003,0.680 +/- 0.003,0.374 +/- 0.008,3
TCGA-LGG,mofa,0.5,0.682 +/- 0.005,0.675 +/- 0.005,0.677 +/- 0.005,0.369 +/- 0.008,3
TCGA-LGG,mofa,0.75,0.672 +/- 0.002,0.666 +/- 0.002,0.668 +/- 0.002,0.349 +/- 0.005,3
TCGA-LGG,mofa,1.0,0.674 +/- 0.002,0.668 +/- 0.002,0.670 +/- 0.002,0.353 +/- 0.004,3
TCGA-LGG,pnet,1e-05,0.652 +/- 0.009,0.649 +/- 0.008,0.650 +/- 0.008,0.307 +/- 0.018,3
TCGA-LGG,pnet,0.0001,0.671 +/- 0.005,0.666 +/- 0.004,0.668 +/- 0.005,0.347 +/- 0.010,3
TCGA-LGG,pnet,0.001,0.675 +/- 0.006,0.670 +/- 0.006,0.673 +/- 0.005,0.355 +/- 0.012,3
TCGA-LGG,pnet,0.01,0.691 +/- 0.016,0.687 +/- 0.016,0.690 +/- 0.014,0.387 +/- 0.031,3
TCGA-LGG,pnet,0.02,0.683 +/- 0.016,0.680 +/- 0.015,0.683 +/- 0.014,0.371 +/- 0.030,3
TCGA-LGG,pnet,0.05,0.673 +/- 0.021,0.670 +/- 0.022,0.674 +/- 0.018,0.353 +/- 0.039,3
TCGA-LGG,pnet,0.1,0.663 +/- 0.017,0.659 +/- 0.019,0.665 +/- 0.014,0.332 +/- 0.030,3
TCGA-LGG,pnet,0.2,0.661 +/- 0.019,0.657 +/- 0.022,0.664 +/- 0.017,0.329 +/- 0.034,3
TCGA-LGG,pnet,0.25,0.660 +/- 0.019,0.656 +/- 0.020,0.663 +/- 0.017,0.328 +/- 0.035,3
TCGA-LGG,svm_early,1e-05,0.644 +/- 0.009,0.616 +/- 0.009,0.638 +/- 0.008,0.295 +/- 0.016,3
TCGA-LGG,svm_early,0.0001,0.662 +/- 0.006,0.635 +/- 0.005,0.657 +/- 0.006,0.329 +/- 0.015,3
TCGA-LGG,svm_early,0.001,0.635 +/- 0.004,0.610 +/- 0.003,0.633 +/- 0.004,0.274 +/- 0.009,3
TCGA-LGG,svm_early,0.01,0.656 +/- 0.014,0.631 +/- 0.013,0.653 +/- 0.013,0.316 +/- 0.027,3
TCGA-LGG,svm_early,0.02,0.646 +/- 0.005,0.620 +/- 0.005,0.642 +/- 0.005,0.296 +/- 0.010,3
TCGA-LGG,svm_early,0.05,0.651 +/- 0.007,0.624 +/- 0.006,0.647 +/- 0.006,0.307 +/- 0.015,3
TCGA-LGG,svm_early,0.1,0.652 +/- 0.006,0.625 +/- 0.005,0.647 +/- 0.006,0.310 +/- 0.014,3
TCGA-LGG,svm_early,0.2,0.651 +/- 0.007,0.625 +/- 0.007,0.647 +/- 0.007,0.308 +/- 0.016,3
TCGA-LGG,svm_early,0.25,0.655 +/- 0.007,0.628 +/- 0.006,0.650 +/- 0.006,0.314 +/- 0.014,3
TCGA-LGG,svm_early,0.5,0.653 +/- 0.007,0.627 +/- 0.007,0.649 +/- 0.007,0.309 +/- 0.014,3
TCGA-LGG,svm_early,0.75,0.657 +/- 0.010,0.633 +/- 0.010,0.654 +/- 0.010,0.318 +/- 0.022,3
TCGA-LGG,svm_early,1.0,0.659 +/- 0.012,0.635 +/- 0.011,0.656 +/- 0.011,0.322 +/- 0.025,3
