dataset,model,ratio_per_omic,balanced_accuracy,macro_f1,accuracy,mcc,n_units
TCGA-BRCA,logreg_early,1e-05,0.717 +/- 0.006,0.672 +/- 0.004,0.669 +/- 0.007,0.523 +/- 0.007,3
TCGA-BRCA,logreg_early,0.0001,0.751 +/- 0.006,0.717 +/- 0.004,0.718 +/- 0.002,0.582 +/- 0.003,3
TCGA-BRCA,logreg_early,0.001,0.805 +/- 0.002,0.792 +/- 0.004,0.786 +/- 0.004,0.673 +/- 0.005,3
TCGA-BRCA,logreg_early,0.01,0.836 +/- 0.003,0.832 +/- 0.005,0.858 +/- 0.009,0.777 +/- 0.014,3
TCGA-BRCA,logreg_early,0.02,0.835 +/- 0.001,0.833 +/- 0.001,0.861 +/- 0.002,0.781 +/- 0.002,3
TCGA-BRCA,logreg_early,0.05,0.842 +/- 0.006,0.840 +/- 0.005,0.866 +/- 0.007,0.788 +/- 0.010,3
TCGA-BRCA,logreg_early,0.1,0.846 +/- 0.010,0.847 +/- 0.004,0.872 +/- 0.003,0.798 +/- 0.004,3
TCGA-BRCA,logreg_early,0.2,0.833 +/- 0.018,0.838 +/- 0.013,0.866 +/- 0.008,0.787 +/- 0.014,3
TCGA-BRCA,logreg_early,0.25,0.829 +/- 0.015,0.834 +/- 0.010,0.863 +/- 0.005,0.781 +/- 0.008,3
TCGA-BRCA,logreg_early,0.5,0.815 +/- 0.018,0.821 +/- 0.014,0.854 +/- 0.009,0.767 +/- 0.014,3
TCGA-BRCA,logreg_early,0.75,0.804 +/- 0.012,0.813 +/- 0.011,0.848 +/- 0.008,0.757 +/- 0.012,3
TCGA-BRCA,logreg_early,1.0,0.800 +/- 0.009,0.810 +/- 0.008,0.847 +/- 0.003,0.755 +/- 0.004,3
TCGA-BRCA,logreg_late,1e-05,0.701 +/- 0.001,0.633 +/- 0.006,0.603 +/- 0.012,0.484 +/- 0.007,3
TCGA-BRCA,logreg_late,0.0001,0.771 +/- 0.001,0.731 +/- 0.002,0.723 +/- 0.002,0.607 +/- 0.002,3
TCGA-BRCA,logreg_late,0.001,0.831 +/- 0.004,0.812 +/- 0.005,0.804 +/- 0.003,0.704 +/- 0.004,3
TCGA-BRCA,logreg_late,0.01,0.856 +/- 0.007,0.849 +/- 0.008,0.864 +/- 0.009,0.786 +/- 0.014,3
TCGA-BRCA,logreg_late,0.02,0.860 +/- 0.004,0.855 +/- 0.005,0.873 +/- 0.007,0.800 +/- 0.010,3
TCGA-BRCA,logreg_late,0.05,0.868 +/- 0.002,0.861 +/- 0.002,0.876 +/- 0.003,0.805 +/- 0.004,3
TCGA-BRCA,logreg_late,0.1,0.859 +/- 0.003,0.859 +/- 0.005,0.877 +/- 0.003,0.804 +/- 0.004,3
TCGA-BRCA,logreg_late,0.2,0.855 +/- 0.001,0.858 +/- 0.003,0.876 +/- 0.003,0.803 +/- 0.005,3
TCGA-BRCA,logreg_late,0.25,0.857 +/- 0.002,0.861 +/- 0.003,0.879 +/- 0.003,0.807 +/- 0.004,3
TCGA-BRCA,logreg_late,0.5,0.839 +/- 0.008,0.846 +/- 0.006,0.870 +/- 0.004,0.792 +/- 0.007,3
TCGA-BRCA,logreg_late,0.75,0.834 +/- 0.005,0.842 +/- 0.003,0.866 +/- 0.001,0.786 +/- 0.002,3
TCGA-BRCA,logreg_late,1.0,0.830 +/- 0.003,0.839 +/- 0.005,0.861 +/- 0.005,0.778 +/- 0.007,3
TCGA-KIPAN,logreg_early,1e-05,0.844 +/- 0.020,0.847 +/- 0.029,0.870 +/- 0.033,0.763 +/- 0.050,3
TCGA-KIPAN,logreg_early,0.0001,0.887 +/- 0.007,0.892 +/- 0.007,0.915 +/- 0.007,0.842 +/- 0.014,3
TCGA-KIPAN,logreg_early,0.001,0.913 +/- 0.007,0.897 +/- 0.004,0.929 +/- 0.004,0.870 +/- 0.007,3
TCGA-KIPAN,logreg_early,0.01,0.941 +/- 0.007,0.924 +/- 0.007,0.949 +/- 0.005,0.906 +/- 0.009,3
TCGA-KIPAN,logreg_early,0.02,0.941 +/- 0.008,0.932 +/- 0.006,0.953 +/- 0.004,0.913 +/- 0.008,3
TCGA-KIPAN,logreg_early,0.05,0.943 +/- 0.004,0.930 +/- 0.002,0.954 +/- 0.002,0.916 +/- 0.004,3
TCGA-KIPAN,logreg_early,0.1,0.943 +/- 0.002,0.931 +/- 0.002,0.954 +/- 0.002,0.915 +/- 0.004,3
TCGA-KIPAN,logreg_early,0.2,0.952 +/- 0.002,0.946 +/- 0.004,0.961 +/- 0.004,0.928 +/- 0.007,3
TCGA-KIPAN,logreg_early,0.25,0.947 +/- 0.004,0.942 +/- 0.007,0.960 +/- 0.004,0.925 +/- 0.007,3
TCGA-KIPAN,logreg_early,0.5,0.944 +/- 0.005,0.944 +/- 0.004,0.959 +/- 0.003,0.924 +/- 0.005,3
TCGA-KIPAN,logreg_early,0.75,0.947 +/- 0.004,0.945 +/- 0.004,0.959 +/- 0.003,0.924 +/- 0.005,3
TCGA-KIPAN,logreg_early,1.0,0.944 +/- 0.006,0.944 +/- 0.008,0.958 +/- 0.004,0.923 +/- 0.008,3
TCGA-KIPAN,logreg_late,1e-05,0.881 +/- 0.005,0.851 +/- 0.009,0.860 +/- 0.016,0.761 +/- 0.025,3
TCGA-KIPAN,logreg_late,0.0001,0.916 +/- 0.007,0.896 +/- 0.009,0.913 +/- 0.012,0.843 +/- 0.020,3
TCGA-KIPAN,logreg_late,0.001,0.937 +/- 0.008,0.920 +/- 0.008,0.942 +/- 0.005,0.893 +/- 0.009,3
TCGA-KIPAN,logreg_late,0.01,0.960 +/- 0.002,0.941 +/- 0.001,0.962 +/- 0.001,0.931 +/- 0.002,3
TCGA-KIPAN,logreg_late,0.02,0.959 +/- 0.003,0.939 +/- 0.004,0.962 +/- 0.003,0.931 +/- 0.005,3
TCGA-KIPAN,logreg_late,0.05,0.958 +/- 0.004,0.943 +/- 0.005,0.964 +/- 0.003,0.933 +/- 0.005,3
TCGA-KIPAN,logreg_late,0.1,0.962 +/- 0.002,0.947 +/- 0.004,0.965 +/- 0.003,0.935 +/- 0.005,3
TCGA-KIPAN,logreg_late,0.2,0.965 +/- 0.002,0.952 +/- 0.003,0.968 +/- 0.003,0.942 +/- 0.005,3
TCGA-KIPAN,logreg_late,0.25,0.964 +/- 0.003,0.951 +/- 0.003,0.968 +/- 0.003,0.942 +/- 0.006,3
TCGA-KIPAN,logreg_late,0.5,0.960 +/- 0.001,0.949 +/- 0.004,0.967 +/- 0.003,0.940 +/- 0.005,3
TCGA-KIPAN,logreg_late,0.75,0.959 +/- 0.000,0.946 +/- 0.003,0.965 +/- 0.002,0.935 +/- 0.003,3
TCGA-KIPAN,logreg_late,1.0,0.959 +/- 0.003,0.945 +/- 0.005,0.964 +/- 0.003,0.934 +/- 0.005,3
TCGA-LGG,logreg_early,1e-05,0.666 +/- 0.014,0.661 +/- 0.014,0.662 +/- 0.013,0.337 +/- 0.026,3
TCGA-LGG,logreg_early,0.0001,0.691 +/- 0.008,0.686 +/- 0.007,0.688 +/- 0.008,0.387 +/- 0.017,3
TCGA-LGG,logreg_early,0.001,0.653 +/- 0.008,0.651 +/- 0.010,0.653 +/- 0.008,0.309 +/- 0.014,3
TCGA-LGG,logreg_early,0.01,0.686 +/- 0.010,0.684 +/- 0.010,0.685 +/- 0.009,0.374 +/- 0.019,3
TCGA-LGG,logreg_early,0.02,0.672 +/- 0.010,0.670 +/- 0.008,0.671 +/- 0.008,0.346 +/- 0.020,3
TCGA-LGG,logreg_early,0.05,0.679 +/- 0.006,0.677 +/- 0.005,0.678 +/- 0.006,0.360 +/- 0.014,3
TCGA-LGG,logreg_early,0.1,0.677 +/- 0.018,0.674 +/- 0.016,0.676 +/- 0.017,0.358 +/- 0.038,3
TCGA-LGG,logreg_early,0.2,0.677 +/- 0.012,0.675 +/- 0.011,0.676 +/- 0.012,0.357 +/- 0.026,3
TCGA-LGG,logreg_early,0.25,0.684 +/- 0.019,0.682 +/- 0.018,0.683 +/- 0.018,0.371 +/- 0.039,3
TCGA-LGG,logreg_early,0.5,0.693 +/- 0.016,0.691 +/- 0.014,0.692 +/- 0.015,0.389 +/- 0.033,3
TCGA-LGG,logreg_early,0.75,0.694 +/- 0.019,0.692 +/- 0.017,0.693 +/- 0.017,0.390 +/- 0.039,3
TCGA-LGG,logreg_early,1.0,0.699 +/- 0.020,0.697 +/- 0.019,0.698 +/- 0.019,0.401 +/- 0.042,3
TCGA-LGG,logreg_late,1e-05,0.661 +/- 0.019,0.653 +/- 0.018,0.656 +/- 0.018,0.331 +/- 0.038,3
TCGA-LGG,logreg_late,0.0001,0.688 +/- 0.008,0.681 +/- 0.007,0.683 +/- 0.007,0.385 +/- 0.017,3
TCGA-LGG,logreg_late,0.001,0.675 +/- 0.008,0.670 +/- 0.008,0.672 +/- 0.007,0.355 +/- 0.015,3
TCGA-LGG,logreg_late,0.01,0.695 +/- 0.004,0.690 +/- 0.003,0.692 +/- 0.004,0.395 +/- 0.009,3
TCGA-LGG,logreg_late,0.02,0.692 +/- 0.001,0.687 +/- 0.001,0.688 +/- 0.001,0.387 +/- 0.002,3
TCGA-LGG,logreg_late,0.05,0.692 +/- 0.003,0.688 +/- 0.003,0.689 +/- 0.002,0.389 +/- 0.006,3
TCGA-LGG,logreg_late,0.1,0.681 +/- 0.012,0.677 +/- 0.012,0.678 +/- 0.012,0.365 +/- 0.024,3
TCGA-LGG,logreg_late,0.2,0.692 +/- 0.014,0.688 +/- 0.014,0.689 +/- 0.014,0.386 +/- 0.028,3
TCGA-LGG,logreg_late,0.25,0.699 +/- 0.010,0.695 +/- 0.010,0.696 +/- 0.010,0.400 +/- 0.020,3
TCGA-LGG,logreg_late,0.5,0.704 +/- 0.013,0.701 +/- 0.013,0.702 +/- 0.012,0.410 +/- 0.025,3
TCGA-LGG,logreg_late,0.75,0.713 +/- 0.010,0.709 +/- 0.010,0.710 +/- 0.010,0.427 +/- 0.018,3
TCGA-LGG,logreg_late,1.0,0.714 +/- 0.019,0.711 +/- 0.019,0.712 +/- 0.018,0.431 +/- 0.037,3
TCGA-LGG,mofa,1e-05,0.527 +/- 0.016,0.525 +/- 0.016,0.527 +/- 0.015,0.054 +/- 0.032,3
TCGA-LGG,mofa,0.0001,0.670 +/- 0.013,0.663 +/- 0.013,0.665 +/- 0.013,0.346 +/- 0.029,3
TCGA-LGG,mofa,0.001,0.643 +/- 0.018,0.635 +/- 0.018,0.638 +/- 0.018,0.293 +/- 0.038,3
TCGA-LGG,mofa,0.01,0.667 +/- 0.011,0.659 +/- 0.011,0.662 +/- 0.010,0.342 +/- 0.022,3
TCGA-LGG,mofa,0.02,0.683 +/- 0.006,0.677 +/- 0.006,0.679 +/- 0.006,0.373 +/- 0.013,3
TCGA-LGG,mofa,0.05,0.684 +/- 0.005,0.677 +/- 0.005,0.679 +/- 0.005,0.374 +/- 0.009,3
TCGA-LGG,mofa,0.1,0.689 +/- 0.005,0.681 +/- 0.005,0.684 +/- 0.005,0.386 +/- 0.011,3
TCGA-LGG,mofa,0.2,0.684 +/- 0.002,0.677 +/- 0.002,0.679 +/- 0.002,0.375 +/- 0.005,3
TCGA-LGG,mofa,0.25,0.684 +/- 0.003,0.678 +/- 0.003,0.680 +/- 0.003,0.374 +/- 0.008,3
TCGA-LGG,mofa,0.5,0.682 +/- 0.005,0.675 +/- 0.005,0.677 +/- 0.005,0.369 +/- 0.008,3
TCGA-LGG,mofa,0.75,0.672 +/- 0.002,0.666 +/- 0.002,0.668 +/- 0.002,0.349 +/- 0.005,3
TCGA-LGG,mofa,1.0,0.674 +/- 0.002,0.668 +/- 0.002,0.670 +/- 0.002,0.353 +/- 0.004,3
